Facility Name,Site Address,Facility Type,Last Inspection Date,Inspection Result,url_entity_partial,category,url_entity_full
Banz Cake,106-3480 Platinum Drive Mississauga Ontario L5M 2S4,Bakery,2024-05-02,,location.href = '/Portal/Facility/Details/77a9f9ea-02ff-4aba-a55a-99de59cd40e4' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/77a9f9ea-02ff-4aba-a55a-99de59cd40e4
Bao Bar,5-4310 Sherwoodtowne Blvd Mississauga ON L4Z 4C4,Restaurant,2023-11-14,,location.href = '/Portal/Facility/Details/112e49e0-c530-4ea2-8a40-bafa4b091cd1' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/112e49e0-c530-4ea2-8a40-bafa4b091cd1
Bao-Shin To Go,1-896 Burnhamthorpe Rd W Mississauga ON L5C 2S3,Food Take Out,2023-11-27,,location.href = '/Portal/Facility/Details/1c4ac1e1-83ca-4815-b998-6d60fb17dd3a' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/1c4ac1e1-83ca-4815-b998-6d60fb17dd3a
Bar 4 U,12 & 14-35 King St E Mississauga ON L5A 4E2,Restaurant,2024-03-27,,location.href = '/Portal/Facility/Details/89d7d1f8-23b1-49e7-bf81-6309b18c1c61' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/89d7d1f8-23b1-49e7-bf81-6309b18c1c61
Bar 6IX Sports & Wings,109-201 City Centre Dr Mississauga ON L5B 4E4,Bar,2023-11-01,,location.href = '/Portal/Facility/Details/7ecd3f6a-2e82-46b7-82ef-35baa24fb97c' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/7ecd3f6a-2e82-46b7-82ef-35baa24fb97c
Bar B Q Tonite,35 Dundas St W Mississauga ON,Restaurant,2024-02-27,,location.href = '/Portal/Facility/Details/7d3a364c-007e-443b-9822-bd3661f91ba2' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/7d3a364c-007e-443b-9822-bd3661f91ba2
Bar B Q Tonite,5-5165 Dixie Rd Mississauga ON L4W 4G1,Restaurant,2024-03-19,,location.href = '/Portal/Facility/Details/71213ca6-f812-4f48-9e02-c9264cbee5a0' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/71213ca6-f812-4f48-9e02-c9264cbee5a0
bar Burrito,1-72 Quarry Edge Dr. Brampton ON L6V 4K2,Food Take Out,2024-05-01,,location.href = '/Portal/Facility/Details/2e5ac40c-743e-40a8-adea-ee494dd5c927' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/2e5ac40c-743e-40a8-adea-ee494dd5c927
Bar Burrito,C-48 Peel Centre Dr Brampton ON L6T 0E2,Restaurant,2024-02-22,,location.href = '/Portal/Facility/Details/2c8d731a-438d-496e-8389-3d71341a2b4a' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/2c8d731a-438d-496e-8389-3d71341a2b4a
bar Burrito,66-1250 South Service Rd Mississauga ON L5E 1V4,Food Take Out,2024-01-23,,location.href = '/Portal/Facility/Details/69979913-49fb-49c4-afb9-209b69089662' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/69979913-49fb-49c4-afb9-209b69089662
Bar Burrito,B104-15 Montpelier St Brampton ON L6Y 6H4,Restaurant,2024-01-15,,location.href = '/Portal/Facility/Details/4e9ea0e4-e432-43b3-afe6-1c4e952f221c' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/4e9ea0e4-e432-43b3-afe6-1c4e952f221c
Bar Burrito,C1-6435 Erin Mills Pkwy Mississauga ON L5N 4H4,Restaurant,2024-02-01,,location.href = '/Portal/Facility/Details/ea0f477b-8e2a-45d2-899f-1e31bb32deee' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/ea0f477b-8e2a-45d2-899f-1e31bb32deee
Bar Burrito,732K-25 Peel Centre Dr Brampton ON L6T 3R5,Food Take Out,2024-03-25,,location.href = '/Portal/Facility/Details/cd14042a-2526-40a2-9179-0f49a004dce8' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/cd14042a-2526-40a2-9179-0f49a004dce8
bar Burrito,3-2116 Burnhamthorpe Rd W Mississauga ON L5L 5Z5,Restaurant,2024-01-12,,location.href = '/Portal/Facility/Details/8098ee30-2a36-4956-8918-09d4b747af0c' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/8098ee30-2a36-4956-8918-09d4b747af0c
Bar Burrito,A-03-398 City Centre Dr Mississauga ON L5B 0M9,Food Take Out,2024-02-20,,location.href = '/Portal/Facility/Details/c4c0227d-dd98-424c-be68-823e7445d58d' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/c4c0227d-dd98-424c-be68-823e7445d58d
Bar Burrito,14A-40 Bristol Rd E Mississauga ON L4Z 3K8,Restaurant,2024-02-23,,location.href = '/Portal/Facility/Details/22e37e06-77fb-4035-8602-b03314680a0f' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/22e37e06-77fb-4035-8602-b03314680a0f
BAR:120 - Terminal 1,AT1 L2-6301 Silver Dart Dr Mississauga ON L5P 1B2,Food Take Out,2024-03-20,,location.href = '/Portal/Facility/Details/a558a0f5-a965-4d76-94ca-5c89283755a8' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/a558a0f5-a965-4d76-94ca-5c89283755a8
Bara's Hut Roti and Doubles,127 Dundas St E Mississauga ON L5A 1W7,Food Take Out,2023-12-06,,location.href = '/Portal/Facility/Details/7c26ed64-efdc-428d-98a1-ad3dc640ca1b' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/7c26ed64-efdc-428d-98a1-ad3dc640ca1b
BarBQ Kitchen,104-10095 Bramalea Rd Brampton ON L6R 0K1,Restaurant,2024-03-11,,location.href = '/Portal/Facility/Details/9fd892e9-4db9-4489-991e-d220bfa08053' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/9fd892e9-4db9-4489-991e-d220bfa08053
BarBurrito,7-334 Queen St S Bolton ON L7E 4Z8,Restaurant,2023-12-04,,location.href = '/Portal/Facility/Details/122353be-97bf-435d-823d-d13921508bb1' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/122353be-97bf-435d-823d-d13921508bb1
Barburrito,3-11755 Bramalea Rd Brampton ON L6R 3S9,Restaurant,2024-04-03,,location.href = '/Portal/Facility/Details/c870e97d-86c5-47d2-af71-c60dc55f54fb' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/c870e97d-86c5-47d2-af71-c60dc55f54fb
BARBURRITO,103-2933 Queen St E Brampton ON L6T 5J1,Restaurant,2023-11-07,,location.href = '/Portal/Facility/Details/27c60d26-e47b-4e2b-a0b3-ebb370e83209' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/27c60d26-e47b-4e2b-a0b3-ebb370e83209
BarBurrito,A-7686 Hurontario St Brampton ON L6Y 5B5,Food Take Out,2023-05-12,,location.href = '/Portal/Facility/Details/01dc690d-825a-442f-8b4e-e36ab3e0eb1e' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/01dc690d-825a-442f-8b4e-e36ab3e0eb1e
Barburrito,17B-660 Eglinton Ave W Mississauga ON L5R 3V2,Restaurant,2024-04-24,,location.href = '/Portal/Facility/Details/fac8d582-c271-473e-b375-fda835b925c6' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/fac8d582-c271-473e-b375-fda835b925c6
BarBurrito,5A-10886 Hurontario St Brampton ON L7A 3R9,Restaurant,2024-01-10,,location.href = '/Portal/Facility/Details/6e50c85e-ff26-4aa5-a6a9-2880f7da7e4c' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/6e50c85e-ff26-4aa5-a6a9-2880f7da7e4c
Barburrito Fowler,D105-1900 Fowler Dr Mississauga ON L5K 1T7,Restaurant,2024-03-21,,location.href = '/Portal/Facility/Details/e3695df1-7eff-4d08-8d62-80beef191ff8' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/e3695df1-7eff-4d08-8d62-80beef191ff8
Bartley Smoke +,4-1 Bartley Bull Pky Brampton ON L6W 3T7,Food Store (e.g. Convenience/Variety),,,location.href = '/Portal/Facility/Details/9d1ce94a-2cd6-48b5-94fa-e98a68944053' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/9d1ce94a-2cd6-48b5-94fa-e98a68944053
Barzilla Lounge,1E-30 Rambler Dr Brampton ON L6W 1E2,Bar,2023-12-14,,location.href = '/Portal/Facility/Details/817badaf-26a9-406e-bc8f-5f5173cfe3b6' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/817badaf-26a9-406e-bc8f-5f5173cfe3b6
Bashu Chinese Restaurant,A-7A-4559 Hurontario St Mississauga ON L4Z 3L9,Restaurant,2024-04-11,,location.href = '/Portal/Facility/Details/2e574939-8521-4364-afd5-5b0bbe425dcf' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/2e574939-8521-4364-afd5-5b0bbe425dcf
Basil Box,1-138-100 City Centre Dr. Mississauga ON L5B 2C9,Food Take Out,2023-08-21,,location.href = '/Portal/Facility/Details/5b92c799-1cd6-488f-ae7c-dd2a2c0fbc5f' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/5b92c799-1cd6-488f-ae7c-dd2a2c0fbc5f
BASIR AZIZI BAKERY CO,5-4665 Central Pkwy E Mississauga ON L4Z 2V4,Bakery,2024-04-09,,location.href = '/Portal/Facility/Details/6a5ac624-41f8-4fc9-bf3e-9f9e09cc8332' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/6a5ac624-41f8-4fc9-bf3e-9f9e09cc8332
Baskin Robbins,1-202-100 City Centre Dr Mississauga ON L5B 2C9,Food Take Out,2024-03-04,,location.href = '/Portal/Facility/Details/d5d41f2c-5409-4be3-8330-9f3c60694cd3' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/d5d41f2c-5409-4be3-8330-9f3c60694cd3
Baskin Robbins,15-2400 Dundas St W Mississauga ON L5K 2R8,Food Take Out,2024-01-22,,location.href = '/Portal/Facility/Details/6c53b244-d98a-4a43-832b-a115fba05371' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/6c53b244-d98a-4a43-832b-a115fba05371
Baskin Robbins,43-3900 Eglinton Ave W Mississauga Ontario L5M 2S3,Restaurant,2024-04-12,,location.href = '/Portal/Facility/Details/260513a0-3b6c-4586-aa92-a244e4aa7d42' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/260513a0-3b6c-4586-aa92-a244e4aa7d42
Baskin Robbins,2-72 Quarry Edge Dr Brampton ON L6V 4K2,Food Take Out,2023-08-09,,location.href = '/Portal/Facility/Details/7eb574b1-b6cd-4b1d-836d-ad706b3bbd61' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/7eb574b1-b6cd-4b1d-836d-ad706b3bbd61
Baskin Robbins,3-6040 Glen Erin Dr Mississauga ON L5N 3M4,Food Take Out,2023-05-18,,location.href = '/Portal/Facility/Details/f2226a27-ea88-4a5d-ba5a-897831b6fcff' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/f2226a27-ea88-4a5d-ba5a-897831b6fcff
Baskin Robbins,J206-6590 Meadowvale Town Centre Cir Mississauga ON L5N 4B7,Restaurant,2023-10-05,,location.href = '/Portal/Facility/Details/261538b3-0f2b-4d87-bf3f-5b9b0c9ebeeb' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/261538b3-0f2b-4d87-bf3f-5b9b0c9ebeeb
Baskin Robbins,1250 South Service Rd Mississauga ON L5E 1V4,Food Take Out,2023-03-10,,location.href = '/Portal/Facility/Details/21a873bb-0bef-4e08-9e38-6f88cb1f8474' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/21a873bb-0bef-4e08-9e38-6f88cb1f8474
Baskin Robbins,25-1077 N Service Rd Mississauga ON L4Y 1A6,Food Take Out,2024-03-26,,location.href = '/Portal/Facility/Details/a8ac608c-040a-4180-b98a-6c41bd84be77' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/a8ac608c-040a-4180-b98a-6c41bd84be77
Baskin Robbins,2-120 Clementine Dr Brampton ON L6Y 0L8,Snack Bar/Refreshment Stand,2023-02-07,,location.href = '/Portal/Facility/Details/0c3b0199-66ae-4e4a-a52a-65255eca0898' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/0c3b0199-66ae-4e4a-a52a-65255eca0898
Baskin Robbins,5-20 Brisdale Dr Brampton ON L7A 3G1,Restaurant,2023-05-04,,location.href = '/Portal/Facility/Details/717a4886-c27c-43d6-9004-231a0038ea28' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/717a4886-c27c-43d6-9004-231a0038ea28
Baskin Robbins,66-7070 St Barbara Blvd Mississauga ON L5W 0E6,Restaurant,,,location.href = '/Portal/Facility/Details/784a95fe-5b59-4ded-af82-234c0642b572' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/784a95fe-5b59-4ded-af82-234c0642b572
Baskin Robbins,11-170 Sandalwood Pkwy E Brampton ON L6Z 1Y5,Food Take Out,2023-02-07,,location.href = '/Portal/Facility/Details/ed8f0959-55e5-489a-82c5-106edcaf426f' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/ed8f0959-55e5-489a-82c5-106edcaf426f
Baskin Robbins,11-660 Eglinton Ave W Mississauga ON L5R 3V2,Restaurant,2023-12-13,,location.href = '/Portal/Facility/Details/e496638c-55e6-4a42-8a59-e124882d47ae' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/e496638c-55e6-4a42-8a59-e124882d47ae
Baskin Robbins,3-4099 Erin Mills Pky Mississauga ON L5L 3P9,Restaurant,2024-03-15,,location.href = '/Portal/Facility/Details/12a36e60-00c3-4ffd-b333-e8ca32dbd46e' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/12a36e60-00c3-4ffd-b333-e8ca32dbd46e
Baskin Robbins,1-2462 Queen St E Brampton ON L6S 5X9,Food Take Out,2024-01-15,,location.href = '/Portal/Facility/Details/42057c3b-9643-4667-b4bd-f13dc6e1a984' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/42057c3b-9643-4667-b4bd-f13dc6e1a984
Baskin Robbins,51-377 Burnhamthorpe Rd E Mississauga ON L5A 3Y1,Food Take Out,2024-01-26,,location.href = '/Portal/Facility/Details/28d63805-4b11-4a0e-9e30-c4dcd29b039b' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/28d63805-4b11-4a0e-9e30-c4dcd29b039b
Baskin Robbins,203C-25 Peel Centre Dr Brampton ON L6T 3R5,Restaurant,2024-04-22,,location.href = '/Portal/Facility/Details/ca9fc519-2e95-4e9c-b366-d84342bb1cb5' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/ca9fc519-2e95-4e9c-b366-d84342bb1cb5
Baskins Robins,9-6045 Mavis Rd Mississauga ON L5R 4G6,Food Take Out,2024-04-03,,location.href = '/Portal/Facility/Details/808661b8-13e3-4a48-bbf2-bd1ee5415ae1' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/808661b8-13e3-4a48-bbf2-bd1ee5415ae1
Battaglia Lorne Park Market - Bakery,1150 Lorne Park Rd Mississauga ON L5H 3A5,Multi-unit Food Store,2023-09-21,,location.href = '/Portal/Facility/Details/bd3e3ae2-3ce9-4722-be3c-d1224979b601' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/bd3e3ae2-3ce9-4722-be3c-d1224979b601
Battaglia Lorne Park Market - Butcher / Seafood,1150 Lorne Park Rd Mississauga ON L5H 3A5,Multi-unit Food Store,2023-05-08,,location.href = '/Portal/Facility/Details/b6174a13-fc16-45f1-90d7-f3af805a2edc' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/b6174a13-fc16-45f1-90d7-f3af805a2edc
Battaglia Lorne Park Market - Food Take Out,1150 Lorne Park Rd Mississauga ON L5H 3A5,Multi-unit Food Store,2023-09-21,,location.href = '/Portal/Facility/Details/e3c8b049-76c2-4054-b943-f475ce213015' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/e3c8b049-76c2-4054-b943-f475ce213015
Battaglia Lorne Park Market - Supermarket,1150 Lorne Park Rd Mississauga ON L5H 3A5,Multi-unit Food Store,2023-09-21,,location.href = '/Portal/Facility/Details/5392ee12-6b02-42e2-b79a-265a88c2c46e' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/5392ee12-6b02-42e2-b79a-265a88c2c46e
Battaglia Lorne Park Market- Deli,1150 Lorne Park Rd Mississauga ON L5H 3A5,Multi-unit Food Store,2023-05-08,,location.href = '/Portal/Facility/Details/1b23a46f-abf4-4db9-9de9-7aa0b17f5bcf' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/1b23a46f-abf4-4db9-9de9-7aa0b17f5bcf
Battle Arts Academy Inc.,5-12-4880 Tomken Rd Mississauga ON L4W 1J8,Snack Bar/Refreshment Stand,2023-02-28,,location.href = '/Portal/Facility/Details/ad64386c-6c2e-4766-a0d8-5bde980a3b4a' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/ad64386c-6c2e-4766-a0d8-5bde980a3b4a
Bawadi/Shawarma Way,33 Hillcrest Avenue Mississauga ON L5B 1K5,Restaurant,2024-02-13,,location.href = '/Portal/Facility/Details/ae585736-f989-4181-b8bf-9565db2ba3de' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/ae585736-f989-4181-b8bf-9565db2ba3de
Bawarchi Indian Cuisine,22-488 Eglinton Ave W Mississauga ON L5R 0G2,Restaurant,2024-04-29,,location.href = '/Portal/Facility/Details/d9ba2f1d-8634-463a-8dfd-7223c0c9308a' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/d9ba2f1d-8634-463a-8dfd-7223c0c9308a
Baxter-Cafeteria - Eurest Dining Services,7125 Mississauga Rd Mississauga ON L5N 0C2,Cafeteria,2024-04-23,,location.href = '/Portal/Facility/Details/0341f686-2452-4ad9-96fc-86fb38a5681d' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/0341f686-2452-4ad9-96fc-86fb38a5681d
Bayer - Compass Group,2920 Matheson Blvd E Mississauga ON L4W 5J4,Cafeteria,2024-02-05,,location.href = '/Portal/Facility/Details/4bc48f63-9389-4b91-921d-8f76d27e0c50' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/4bc48f63-9389-4b91-921d-8f76d27e0c50
Bayview Garden Restaurant,32-1675 The Chase Mississauga ON L5M 5A7,Restaurant,2023-11-29,,location.href = '/Portal/Facility/Details/b49ef603-6b2a-4a2f-983d-00c494929fd5' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/b49ef603-6b2a-4a2f-983d-00c494929fd5
Bazaar 24 Seven,2-5920 Turney Dr Mississauga ON L5M 2R8,Supermarket,2023-11-16,,location.href = '/Portal/Facility/Details/cd460deb-c272-4dde-97f9-4ddf91ff9ea4' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/cd460deb-c272-4dde-97f9-4ddf91ff9ea4
Bazaar 24 Seven,7-2200 Queen St E Brampton L6S 4G9,Supermarket,2024-03-13,,location.href = '/Portal/Facility/Details/fa0884ca-5027-464b-86a7-c378ac4a8643' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/fa0884ca-5027-464b-86a7-c378ac4a8643
BB Lounge,14-5035 Hurontario St Mississauga ON L4Z 3X7,Restaurant,2024-04-10,,location.href = '/Portal/Facility/Details/4c8f17f3-8c5b-4326-a0ad-48c5329a243f' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/4c8f17f3-8c5b-4326-a0ad-48c5329a243f
BB.Q Chicken,9-3038 Hurontario St Mississauga ON L5B 3B9,Restaurant,2024-03-18,,location.href = '/Portal/Facility/Details/84698d3a-dedb-4aa8-a3ef-54bf02faffac' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/84698d3a-dedb-4aa8-a3ef-54bf02faffac
Bean & Pearl Coffee and Juice Bar,C1-10625 Creditview Rd Brampton ON,Restaurant,2024-05-03,,location.href = '/Portal/Facility/Details/7dab6aa4-38f3-4a0d-9381-c53322b2e98a' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/7dab6aa4-38f3-4a0d-9381-c53322b2e98a
Beanwise,1-5875 Rodeo Dr Mississauga ON L5R 4C1,Food Store (e.g. Convenience/Variety),2024-04-16,,location.href = '/Portal/Facility/Details/ba8e18f9-188b-4fef-a24c-1421acba95a2' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/ba8e18f9-188b-4fef-a24c-1421acba95a2
Bear Cake,8-1960 Dundas St. W Mississauga Ontario L5K 2R9,Bakery,2024-04-10,,location.href = '/Portal/Facility/Details/13ef9d18-29e7-40a6-b6c6-6c37abbcaaf5' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/13ef9d18-29e7-40a6-b6c6-6c37abbcaaf5
Beaver Fishery Shop,295 Queen St E Brampton ON L6W 3A1,Fish Shop,2023-01-25,,location.href = '/Portal/Facility/Details/d429a555-9774-44a1-9e15-73dbe8817880' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/d429a555-9774-44a1-9e15-73dbe8817880
Beaver Tails,73-4700 Ridgeway Dr Mississauga ON L5M 2R9,Food Take Out,2023-11-29,,location.href = '/Portal/Facility/Details/a7985230-7191-4173-8a1b-3742ab527ab2' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/a7985230-7191-4173-8a1b-3742ab527ab2
Beavertails,213 Queen St S Mississauga ON L5M 1L6,Restaurant,2024-02-14,,location.href = '/Portal/Facility/Details/0370aeab-e25d-4798-8931-f9df89ad4b97' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/0370aeab-e25d-4798-8931-f9df89ad4b97
Bebe Di Rasoi,13-15 2700 North Park Dr Brampton ON L6S 6E2,Restaurant,2024-03-25,,location.href = '/Portal/Facility/Details/b0c3aad9-f4a3-494b-88ab-4c917c86e7ef' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/b0c3aad9-f4a3-494b-88ab-4c917c86e7ef
Beckers,5-1585 Mississauga Valley Blvd Mississauga ON L5A 3W9,Food Store (e.g. Convenience/Variety),2023-01-27,,location.href = '/Portal/Facility/Details/c110c4d2-1f61-4722-8bbc-78773b5b99e0' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/c110c4d2-1f61-4722-8bbc-78773b5b99e0
Becker's,1-7235 Bellshire Gt Mississauga ON L5N 7X1,Food Store (e.g. Convenience/Variety),2023-07-28,,location.href = '/Portal/Facility/Details/2ef88145-5a5d-4c97-937a-5f15eb55c3c5' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/2ef88145-5a5d-4c97-937a-5f15eb55c3c5
Becker's,7164 Airport Rd Mississauga ON L4T 2T5,Food Store (e.g. Convenience/Variety),,,location.href = '/Portal/Facility/Details/b25843be-07b2-4ebd-a9f3-39e4785fe8dc' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/b25843be-07b2-4ebd-a9f3-39e4785fe8dc
Becker's Convenience,1-7205 Copenhagen Rd Mississauga ON L5N 2C6,Food Store (e.g. Convenience/Variety),2023-09-22,,location.href = '/Portal/Facility/Details/50b9589f-301f-4f28-9be3-ac8a7312dda0' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/50b9589f-301f-4f28-9be3-ac8a7312dda0
Becker's Convenience Store,2385 Burnhamthorpe Rd W Mississauga ON L5L 6A4,Food Store (e.g. Convenience/Variety),2024-02-23,,location.href = '/Portal/Facility/Details/f1146fbf-2b8c-42f7-a370-7da57c5bfdb0' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/f1146fbf-2b8c-42f7-a370-7da57c5bfdb0
Becton Dickinson Canada-Compass Group,2100 Derry Rd W Mississauga ON L5N 0B3,Cafeteria,2024-03-07,,location.href = '/Portal/Facility/Details/507ee946-476f-4ff5-8d1a-c6a55eed129e' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/507ee946-476f-4ff5-8d1a-c6a55eed129e
Bede's Delight,1-3955 Erin Centre Blvd Mississauga ON L5M 0H1,Food Take Out,2023-08-30,,location.href = '/Portal/Facility/Details/49524275-694c-4fe8-bc7d-834e9b57f339' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/49524275-694c-4fe8-bc7d-834e9b57f339
Beerhive Draft & Craft - Terminal 3,AT3 L2-6301 Silver Dart Dr Mississauga ON L5P 1B2,Bar,2024-04-09,,location.href = '/Portal/Facility/Details/853e8d8b-493a-43cb-a54e-bce20d180504' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/853e8d8b-493a-43cb-a54e-bce20d180504
Befikre Restaurant and Bar,295 Enfield Place Mississauga ON L5B 3E2,Restaurant,2024-04-11,,location.href = '/Portal/Facility/Details/6cd12345-f3bf-49ea-ae2f-c79662694f5f' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/6cd12345-f3bf-49ea-ae2f-c79662694f5f
Before the Bell (Breakfast Program),75 Mary St Brampton ON L6W 3K5,Child Nourishment Program Site,,,location.href = '/Portal/Facility/Details/33760a24-a17b-4dc3-bba1-e21c6711cd87' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/33760a24-a17b-4dc3-bba1-e21c6711cd87
Belfountain Public School - Before and After School,17247 Shaws Creek Rd Caledon ON L0N 1B0,Child Nourishment Program Site,2023-02-07,,location.href = '/Portal/Facility/Details/e738bac2-0d9c-44f0-9cb5-dfb0f0500d90' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/e738bac2-0d9c-44f0-9cb5-dfb0f0500d90
Bell Mobility Centre - Cafeteria - Compass,C-5099 Creekbank Rd Mississauga ON L4W 5N2,Cafeteria,2024-02-23,,location.href = '/Portal/Facility/Details/beff7f52-bd4a-4261-9d52-d47ed84ba325' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/beff7f52-bd4a-4261-9d52-d47ed84ba325
Bell Mobility Centre - Market Creekbank,C-5099 Creekbank Rd Mississauga ON L4W 5N2,Food Store (e.g. Convenience/Variety),2024-02-23,,location.href = '/Portal/Facility/Details/87b2f5ca-e9e5-4a43-a084-2246c36a324a' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/87b2f5ca-e9e5-4a43-a084-2246c36a324a
Bell Mobility Centre - Starbucks,A-5025 Creekbank Rd Mississauga ON L4W 0B6,Food Take Out,2024-02-23,,location.href = '/Portal/Facility/Details/61d4ec30-8bc9-4ebb-ba97-e4d6869a777f' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/61d4ec30-8bc9-4ebb-ba97-e4d6869a777f
Bell Mobility Centre - Subway,C-5099 Creekbank Rd Mississauga ON L4W 5N2,Restaurant,2024-02-23,,location.href = '/Portal/Facility/Details/8450f237-be25-4f93-be78-9030ae926271' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/8450f237-be25-4f93-be78-9030ae926271
Bell Mobility Centre - Tim Hortons,C-5099 Creekbank Rd Mississauga ON L4W 5N2,Restaurant,2024-02-23,,location.href = '/Portal/Facility/Details/0f2c701b-6cad-4c39-842f-968c4e423047' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/0f2c701b-6cad-4c39-842f-968c4e423047
