Facility Name,Site Address,Facility Type,Last Inspection Date,Inspection Result,url_entity_partial,category,url_entity_full
Glamour Hair Salon & Spa,10-1201 Britannia Rd W Mississauga ON L5V 1N2,Manicure / Pedicure,2023-12-12,,location.href = '/Portal/Facility/Details/327e82ab-ecf4-48a1-98a0-23435dfa8a98' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/327e82ab-ecf4-48a1-98a0-23435dfa8a98
Gliterz Beauty Salon,10-1010 Dream Crest Rd Mississauga ON L5V 3A4,Aesthetics,2024-01-15,,location.href = '/Portal/Facility/Details/b23d4a0a-70e2-4056-8cb1-2a01bf68e60a' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/b23d4a0a-70e2-4056-8cb1-2a01bf68e60a
Gllamallama Beauty Bar,1093 Lakeshore Rd E Mississauga ON L5E 1E8,Manicure / Pedicure,2023-08-23,,location.href = '/Portal/Facility/Details/b3ef9541-53e0-4205-9d92-414bbbe7c960' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/b3ef9541-53e0-4205-9d92-414bbbe7c960
Glo Skin Care,15 Durango Dr Brampton ON L6X 2Z2,Aesthetics,2023-06-01,,location.href = '/Portal/Facility/Details/ea6feb7b-9dc4-4fec-9554-f05008a3dd10' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/ea6feb7b-9dc4-4fec-9554-f05008a3dd10
Glorious Salon & Spa,3-9845 Chinguacousy Rd Brampton ON L6X 0V1,Manicure / Pedicure,2023-07-27,,location.href = '/Portal/Facility/Details/a7313fc0-9563-48c2-aa8a-b65960b2a579' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/a7313fc0-9563-48c2-aa8a-b65960b2a579
Gloss Nails & Spa,2760 Derry Rd W Mississauga ON L5N 2R4,Manicure / Pedicure,2023-04-28,,location.href = '/Portal/Facility/Details/56e294b9-ced4-439c-b346-b9d3fe822b39' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/56e294b9-ced4-439c-b346-b9d3fe822b39
Glow & Go Med Spa & Laser Clinic,1-592 Rathburn Road W Mississauga ON l5b3a4,Micropigmentation,2023-12-27,,location.href = '/Portal/Facility/Details/761717cc-f9c2-4f1b-8a55-42d7ba2f6c25' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/761717cc-f9c2-4f1b-8a55-42d7ba2f6c25
Glow Beauty Spa,20-128 Queen St S Mississauga ON L5M 1K8,Manicure / Pedicure,2023-08-18,,location.href = '/Portal/Facility/Details/ecd2ec8c-a4e1-40b0-8bb0-cb184c780f5d' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/ecd2ec8c-a4e1-40b0-8bb0-cb184c780f5d
Glow Brite Medispa,1-5920 Turney Dr Mississauga ON L5M 2R8,Aesthetics,2024-03-21,,location.href = '/Portal/Facility/Details/a736e621-228b-44cc-8ddf-a89808426e44' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/a736e621-228b-44cc-8ddf-a89808426e44
Glow n Glam Beauty Studio,5A-15 Fandor Way Brampton ON L7A 2G9,Hair Dressing / Barbering,2023-07-24,,location.href = '/Portal/Facility/Details/592151f6-abd9-4e5e-a198-4ea69915d86a' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/592151f6-abd9-4e5e-a198-4ea69915d86a
