Facility Name,Site Address,Last Inspection Date,Colour Posting,url_entity_partial,category,Type,Legislation,Status,Offence Date,Description,Status Updated,url_entity_full
Jova Medical Aesthetics,C-1065 Valetta St  London ON N6H 2Z9,,,location.href = '/Portal/Facility/Details/508c8f7f-6904-471b-8043-c28acab353d8' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/508c8f7f-6904-471b-8043-c28acab353d8
Lash Barn,185 Gilmour Dr  Lucan ON N0M 2J0,,,location.href = '/Portal/Facility/Details/822efdb3-c35c-4100-8975-9eafdd554178' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/822efdb3-c35c-4100-8975-9eafdd554178
Lash Studio by Jessica Arruda,59 Bridle Path  Strathroy Ontario N7G 4K4,,,location.href = '/Portal/Facility/Details/eb7859f1-4b2b-4342-be5e-a80be18a207b' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/eb7859f1-4b2b-4342-be5e-a80be18a207b
Longevity Lounge,5-2175 Richmond Street  London ON N6G 3V9,,,location.href = '/Portal/Facility/Details/5dccb85b-1b25-4b8e-bf8b-7629d45dc87e' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/5dccb85b-1b25-4b8e-bf8b-7629d45dc87e
Marcias Hair at Renew,169 Main St  Lucan ON N0M 2J0,,,location.href = '/Portal/Facility/Details/4b9a4242-b3e4-4ce0-b42d-8cbf6779f303' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/4b9a4242-b3e4-4ce0-b42d-8cbf6779f303
Marg's Hair Design,9 Wintergarden Rd  London ON N5Y 5M2,,,location.href = '/Portal/Facility/Details/98ce3156-7166-46c6-8682-2c72c8b4da60' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/98ce3156-7166-46c6-8682-2c72c8b4da60
Matilde Araque Skin Care,1767 Mickleborough Dr  London ON N6G 5R4,,,location.href = '/Portal/Facility/Details/4ad5ecf3-ebab-4824-8fb0-a595212f23c9' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/4ad5ecf3-ebab-4824-8fb0-a595212f23c9
Micropigmenttech London,17th Floor-71 King St  London ON N6A 0A5,,,location.href = '/Portal/Facility/Details/4fab2de0-70c8-4a27-a128-1efb34020392' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/4fab2de0-70c8-4a27-a128-1efb34020392
My Hair Studio,1040 Adelaide St N  London ON N5Y 2M9,,,location.href = '/Portal/Facility/Details/072af077-25fb-4374-93ba-bc2e2315dc43' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/072af077-25fb-4374-93ba-bc2e2315dc43
Om Esthetic Studio,27 Meadowridge Cres  London Ontario N6H 5E9,,,location.href = '/Portal/Facility/Details/d313501c-db7b-40e8-953c-6a0155d5a5bc' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/d313501c-db7b-40e8-953c-6a0155d5a5bc
