Facility Name,Site Address,Facility Type,Last Inspection Date,url_entity_partial,category,Risk Rating,Type,Offense,Enforcement,Date Issued,Date Of Conviction,url_entity_full
Macdonell Variety,67 Macdonell St  Guelph ON N1H 2Z7,Convenience / Variety,08-Dec-2023,location.href = '/Facility/Details/887d82e8-d9f3-433e-a90b-34eb9e40fd3b' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/887d82e8-d9f3-433e-a90b-34eb9e40fd3b
MacEwen Gas Station,399 Main St. N  Mount Forest ON N0G 2L1,Convenience / Variety,24-Apr-2024,location.href = '/Facility/Details/9748caad-6866-42ba-aaef-6c71fd5247ae' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/9748caad-6866-42ba-aaef-6c71fd5247ae
Mad Hatter Bake and Brew,24 N Broadway St  Belwood ON N0B 1J0,Mobile Preparation Premises,11-Aug-2023,location.href = '/Facility/Details/c16f0770-8dc3-4536-b2b3-0d73cd09400a' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/c16f0770-8dc3-4536-b2b3-0d73cd09400a
Mad hatter bake and brew,24 N Broadway St  Belwood ON N0B 1J0,Food Take Out,,location.href = '/Facility/Details/449d6c94-4b5d-4233-8529-20413d9d9dd9' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/449d6c94-4b5d-4233-8529-20413d9d9dd9
Maddie Hatter,50 Main St  Erin ON N0B 1T0,Restaurant,07-Feb-2024,location.href = '/Facility/Details/7f7eaeda-0636-4dac-bb65-b3198cac15f8' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/7f7eaeda-0636-4dac-bb65-b3198cac15f8
Made in Holland,173 St Andrew St W  Fergus ON N1M 1N6,Supermarket,23-Jan-2024,location.href = '/Facility/Details/4616da39-36a5-4485-b93d-8557e8feb3ba' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/4616da39-36a5-4485-b93d-8557e8feb3ba
Magic Ice Cream Shoppe (The),23 Elora St S  Minto ON N0G 1Z0,Snack Bar / Refreshment Stand,01-Aug-2023,location.href = '/Facility/Details/7d91c8d7-615e-4f95-a92a-cfe6923ebe5c' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/7d91c8d7-615e-4f95-a92a-cfe6923ebe5c
Magpie's Bakery & Gourmet Doughnuts,181 Main St S  Mount Forest ON N0G 2L0,Baked Goods - Retail,09-Nov-2023,location.href = '/Facility/Details/db01f8bd-8842-4f19-8050-897d02f8e5b1' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/db01f8bd-8842-4f19-8050-897d02f8e5b1
Mahdia Shawarma,8-50 Rolling Hills Dr  Orangeville ON L9W 6T6,Restaurant,07-Feb-2024,location.href = '/Facility/Details/67f56975-251d-4590-af16-e753510243ae' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/67f56975-251d-4590-af16-e753510243ae
Main Street Cafe,149 Main St W  Shelburne ON L9W 3K3,Restaurant,19-Oct-2023,location.href = '/Facility/Details/48ab739f-0f9f-4f51-b6a4-c3a9412a76d3' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/48ab739f-0f9f-4f51-b6a4-c3a9412a76d3
