Facility Name,Site Address,Facility Type,Last Inspection Date,url_entity_partial,category,Risk Rating,Type,Offense,Enforcement,Date Issued,Date Of Conviction,url_entity_full
Pioneer Gas Bar,5471 Hwy 6 N RR5  Guelph ON N1H 6J2,Convenience / Variety,24-Apr-2024,location.href = '/Facility/Details/7953a7dd-40d7-45b8-ae51-cf55c45bd22d' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/7953a7dd-40d7-45b8-ae51-cf55c45bd22d
Pioneer Gas Station & Pizza Pizza,936593 Airport Rd  Mansfield ON L0N 1M0,Food Take Out,08-Feb-2024,location.href = '/Facility/Details/ee86d66c-3216-4b91-838f-6e62be3f2daa' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/ee86d66c-3216-4b91-838f-6e62be3f2daa
Pioneer On the Run,715 Wellington St W  Guelph ON N1H 8L8,Convenience / Variety,27-Sep-2023,location.href = '/Facility/Details/2591e9de-cd21-4409-910b-009ba13b9d72' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/2591e9de-cd21-4409-910b-009ba13b9d72
Pioneer Puslinch,315 Brock Rd S  Puslinch ON N0B 2J0,Convenience / Variety,21-Mar-2024,location.href = '/Facility/Details/55b47ea0-8180-48b9-834a-78fa06cfb1cd' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/55b47ea0-8180-48b9-834a-78fa06cfb1cd
Pioneer Snack Express,8006 Wellington Rd 109  Arthur ON N0G 1A0,Convenience / Variety,14-Nov-2023,location.href = '/Facility/Details/456d9ab5-c799-4b6f-814d-670dee6386eb' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/456d9ab5-c799-4b6f-814d-670dee6386eb
Pioneer Snack Express,5572 Highway 9  Minto ON N0G 1Z0,Convenience / Variety,16-Apr-2024,location.href = '/Facility/Details/15146bd9-86dc-4d6b-bb25-30cbd0dcd2be' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/15146bd9-86dc-4d6b-bb25-30cbd0dcd2be
Pita Land,3-20 Clair Rd W  Guelph ON N1L 0A8,Restaurant,24-Oct-2023,location.href = '/Facility/Details/723393bc-9760-4150-9687-8cb2217d6f4f' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/723393bc-9760-4150-9687-8cb2217d6f4f
Pita Land,FC3-435 Stone Rd W  Guelph ON N1G 3X6,Food Take Out,01-Oct-2019,location.href = '/Facility/Details/0d8945ce-992c-4ed3-a3a9-f58ff195d2d5' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/0d8945ce-992c-4ed3-a3a9-f58ff195d2d5
Pita Pit,40 Broadway  Orangeville ON L9W 1J4,Restaurant,14-Feb-2023,location.href = '/Facility/Details/2c2e5819-6a4b-4327-8cfa-ead44323cf01' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/2c2e5819-6a4b-4327-8cfa-ead44323cf01
Pita Pit,7999 Wellington Rd 109  Arthur ON N0G 1A0,Restaurant,22-Sep-2023,location.href = '/Facility/Details/1ca6f729-be80-4082-9188-f1e1b04960a4' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/1ca6f729-be80-4082-9188-f1e1b04960a4
Pita Pit,786 Tower St S  Fergus ON N1M 2R3,Restaurant,07-Feb-2024,location.href = '/Facility/Details/d3194e62-8787-49bb-bc93-bf4d2a668119' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/d3194e62-8787-49bb-bc93-bf4d2a668119
Pita Pit,65 Macdonell St  Guelph ON N1H 2Z7,Food Take Out,25-Jan-2024,location.href = '/Facility/Details/a02371ca-ea58-4d90-9304-718293eea943' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/a02371ca-ea58-4d90-9304-718293eea943
Pita Pit,105 Clair Rd E  Guelph ON N1L 1G7,Restaurant,18-Apr-2024,location.href = '/Facility/Details/702a153c-c598-4e16-a1f4-14ae5e6a610e' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/702a153c-c598-4e16-a1f4-14ae5e6a610e
Pita Pit,103-5 Woodlawn Rd W  Guelph ON N1H 6V1,Restaurant,14-Feb-2024,location.href = '/Facility/Details/ab1cfcb0-a4c3-49f7-be7b-16e70d726aa4' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/ab1cfcb0-a4c3-49f7-be7b-16e70d726aa4
Pita Pit,4-204 Silvercreek Pky N  Guelph ON N1H 7P7,Food Take Out,08-Aug-2023,location.href = '/Facility/Details/1b09ec2e-fb41-495f-b22d-1bd2f119f855' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/1b09ec2e-fb41-495f-b22d-1bd2f119f855
Pivate Chef,42 Carden St  Guelph ON N1H 3A2,Food Caterer,08-Dec-2023,location.href = '/Facility/Details/5fa7602e-2b93-4e4e-b338-7c6cc407f669' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/5fa7602e-2b93-4e4e-b338-7c6cc407f669
Pizza Delight,181 St Andrew Street E  Fergus ON N1M 1P9,Restaurant,23-Apr-2024,location.href = '/Facility/Details/0aa7776d-d8fe-4e1d-a2b1-20e014ea7006' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/0aa7776d-d8fe-4e1d-a2b1-20e014ea7006
Pizza Depot,489 Broadway  Orangeville ON L9W 2Y9,Food Take Out,10-Jan-2024,location.href = '/Facility/Details/729e50b5-d0c7-42e9-93ab-9007f3f3b02c' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/729e50b5-d0c7-42e9-93ab-9007f3f3b02c
Pizza Depot,14-995 Paisley Rd  Guelph ON N1K 1X6,Restaurant,04-Mar-2024,location.href = '/Facility/Details/6449f6ec-676d-4591-9ed3-999c93eb1264' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/6449f6ec-676d-4591-9ed3-999c93eb1264
Pizza Express,4-672 Woolwich St  Guelph ON N1H 3Z1,Food Take Out,06-May-2024,location.href = '/Facility/Details/53108788-a0c3-48ce-8ae5-408a6386220e' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/53108788-a0c3-48ce-8ae5-408a6386220e
Pizza Hut,134 Main St S  Mount Forest ON N2G 2L2,Food Take Out,22-Jan-2024,location.href = '/Facility/Details/a36feadb-99fb-4a83-ace1-17c65dae21cc' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/a36feadb-99fb-4a83-ace1-17c65dae21cc
Pizza Hut,328 Broadway  Orangeville ON L9W 3L3,Food Take Out,22-Jan-2024,location.href = '/Facility/Details/3e9596d8-dcd8-4707-a652-028ed6e2dd3b' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/3e9596d8-dcd8-4707-a652-028ed6e2dd3b
Pizza Hut,1-649 Scottsdale Dr  Guelph ON N1G 4T7,Food Take Out,18-Apr-2024,location.href = '/Facility/Details/ebc68f43-0013-4e7f-bfbe-0d42ca77b13f' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/ebc68f43-0013-4e7f-bfbe-0d42ca77b13f
Pizza Hut,2-219 Eramosa Rd  Guelph ON N1E 2M5,Food Take Out,14-Nov-2023,location.href = '/Facility/Details/4853c407-85e3-4ca1-ab59-c07c43df672d' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/4853c407-85e3-4ca1-ab59-c07c43df672d
Pizza Hut,3-7999 Wellington County Rd 109  Arthur ON N0G 1A0,Restaurant,22-Sep-2023,location.href = '/Facility/Details/3a58ef9b-e32f-47cd-990e-b40f944ce2da' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/3a58ef9b-e32f-47cd-990e-b40f944ce2da
Pizza Hut,111-303 Col Phillips Drive  Shelburne ON L0N 1S1,Food Take Out,02-May-2024,location.href = '/Facility/Details/12ecd236-2f9d-4b73-b84e-d9272303a37f' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/12ecd236-2f9d-4b73-b84e-d9272303a37f
Pizza Hut Fergus,D2-93 Parkside Dr W  Fergus ON N1M 3M5,Food Take Out,20-Sep-2023,location.href = '/Facility/Details/9c1de45c-ba4b-4109-871d-4d72e52bff89' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/9c1de45c-ba4b-4109-871d-4d72e52bff89
Pizza La Villa,1-115 Downey Rd  Guelph ON N1C 1A2,Food Take Out,12-Apr-2024,location.href = '/Facility/Details/71c0c19e-0fd4-4afd-9945-f2aed859981b' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/71c0c19e-0fd4-4afd-9945-f2aed859981b
Pizza Nova,2B-40 Broadway  Orangeville ON L9W 1J4,Food Take Out,,location.href = '/Facility/Details/d3c5927b-0e87-46da-bbcd-f7410f8100ab' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/d3c5927b-0e87-46da-bbcd-f7410f8100ab
Pizza Nova,B2-5 Clair Rd W  Guelph ON N1L 0A6,Restaurant,12-Feb-2024,location.href = '/Facility/Details/be1415d0-63c6-44b5-83f5-9069bba20e9f' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/be1415d0-63c6-44b5-83f5-9069bba20e9f
Pizza Pizza,71 Willow Rd  Guelph ON N1H 1W3,Restaurant,03-Jan-2024,location.href = '/Facility/Details/e6a6dd22-954a-4f46-9708-a52d63722abc' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/e6a6dd22-954a-4f46-9708-a52d63722abc
Pizza Pizza,101-155 Main St W  Shelburne ON L9V 3K3,Food Take Out,15-Dec-2023,location.href = '/Facility/Details/649dad88-1108-4f09-9b3e-59eb88db6748' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/649dad88-1108-4f09-9b3e-59eb88db6748
Pizza Pizza,500 York Rd  Guelph ON N1E 3J4,Restaurant,03-Jan-2023,location.href = '/Facility/Details/1ce4a0af-adef-4c5a-9674-31b26046f485' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/1ce4a0af-adef-4c5a-9674-31b26046f485
Pizza Pizza,435 Stone Rd W  Guelph ON N1G 2X6,Restaurant,28-Sep-2023,location.href = '/Facility/Details/18472c3b-1af6-4684-9029-31752336bedd' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/18472c3b-1af6-4684-9029-31752336bedd
Pizza Pizza,380 Eramosa Rd  Guelph ON N1E 6R2,Restaurant,31-Jan-2024,location.href = '/Facility/Details/6ae8e7f5-9296-43bf-a9d9-efb6d0f960e8' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/6ae8e7f5-9296-43bf-a9d9-efb6d0f960e8
Pizza Pizza,210 Broadway  Orangeville ON L9W 1K3,Restaurant,10-Apr-2024,location.href = '/Facility/Details/ff29b56f-f55e-4a12-8c27-cca036ce38ad' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/ff29b56f-f55e-4a12-8c27-cca036ce38ad
Pizza Pizza Fergus,777 Tower St South  Fergus ON N1M 2R2,Food Take Out,31-Oct-2023,location.href = '/Facility/Details/7f278cfd-e243-4381-9cd6-d4070bc53081' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/7f278cfd-e243-4381-9cd6-d4070bc53081
Pizza Pizza Palmerston,555 Main St W  Palmerston ON N0G 2P0,Food Take Out,31-Jan-2024,location.href = '/Facility/Details/eca6a5c1-ed31-4102-9fed-31fd4cde39af' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/eca6a5c1-ed31-4102-9fed-31fd4cde39af
PIZZAbilities,33 Main St S  Grand Valley ON L9W 5S8,Food Take Out,23-Jan-2024,location.href = '/Facility/Details/a4213b17-19a4-4004-a836-82831c460dfb' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/a4213b17-19a4-4004-a836-82831c460dfb
PizzaForno,505535 Highway 89 Mulmr ON L0N 1S6,Food Take Out,01-Mar-2024,location.href = '/Facility/Details/1f12bd6d-2919-4455-93b9-69f0dc7a975a' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/1f12bd6d-2919-4455-93b9-69f0dc7a975a
Pizzalux,17-218 Silvercreek Pkwy N  Guelph ON N1H 8E6,Food Take Out,07-Mar-2024,location.href = '/Facility/Details/d41b0b25-c94c-4909-8ea2-d84bc3140369' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/d41b0b25-c94c-4909-8ea2-d84bc3140369
Pizzaville,B2-2 Clair Rd E  Guelph ON N1L 0G6,Restaurant,06-Dec-2023,location.href = '/Facility/Details/2d7b0ccd-fb85-4f37-8bb0-f85a5cdb5449' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/2d7b0ccd-fb85-4f37-8bb0-f85a5cdb5449
Pizzaville,47 Broadway  Orangeville ON L9W 4N8,Food Take Out,21-Feb-2024,location.href = '/Facility/Details/4ec18160-19ab-4f3b-af89-6390f85a9e97' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/4ec18160-19ab-4f3b-af89-6390f85a9e97
Pizzaville,4-804 Ojibway Road  Shelburne ON L9V 3X9,Food Take Out,22-Apr-2024,location.href = '/Facility/Details/8cbbb9fa-dd44-4f2d-86b4-73362e7be1d4' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/8cbbb9fa-dd44-4f2d-86b4-73362e7be1d4
Pizzaville,106 Silvercreek Pkwy N  Guelph ON N1H 7B4,Food Take Out,20-Mar-2024,location.href = '/Facility/Details/8a7fd75f-f164-48ae-a161-088583384707' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/8a7fd75f-f164-48ae-a161-088583384707
Planet Bean Coffee,259 Grange Rd  Guelph ON N1E 6R5,Restaurant,19-Jan-2024,location.href = '/Facility/Details/fd7dea7c-10c2-4e12-8f08-0d109964d62b' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/fd7dea7c-10c2-4e12-8f08-0d109964d62b
Planet Bean Coffee,1-2 Wyndham St N  Guelph ON N1H 2Z4,Restaurant,19-Sep-2023,location.href = '/Facility/Details/a2db544b-7704-41d3-986e-6118c058d492' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/a2db544b-7704-41d3-986e-6118c058d492
Planet Bean Inc.,369 Gordon St  Guelph ON N1G 1X8,Restaurant,06-May-2024,location.href = '/Facility/Details/c91e8fa3-e401-42c3-ad18-49d11ab2c8a3' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/c91e8fa3-e401-42c3-ad18-49d11ab2c8a3
Planet Bean Kitchen,42 Carden St  Guelph ON N1H 3A2,Bakery - Production,,location.href = '/Facility/Details/a22bea44-f4ef-4e3f-b7bd-ed7df04f13c1' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/a22bea44-f4ef-4e3f-b7bd-ed7df04f13c1
plant.ed cafe,7-121 First St  Orangeville ON L9W 3J8,Restaurant,,location.href = '/Facility/Details/291a073f-1ddd-4c4c-9afd-197458bbe57e' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/291a073f-1ddd-4c4c-9afd-197458bbe57e
Platters Catering and Events,25-340 Woodlawn Rd W  Guelph ON N1H 7K6,Food Caterer,22-Apr-2024,location.href = '/Facility/Details/9f3a1877-a6be-467b-a1d0-9b71ea1f6217' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/9f3a1877-a6be-467b-a1d0-9b71ea1f6217
Play With Clay,42 Wyndham St N  Guelph ON N1H 4E6,Restaurant,13-Mar-2024,location.href = '/Facility/Details/22efd913-7c04-49d9-9eba-b464aebb3836' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/22efd913-7c04-49d9-9eba-b464aebb3836
PMD/Drayton Arena,68 Main St W  Drayton ON N0G 1P0,Snack Bar / Refreshment Stand,12-May-2023,location.href = '/Facility/Details/f7f750db-6548-4338-9ee2-d59259b1768f' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/f7f750db-6548-4338-9ee2-d59259b1768f
PMD/Drayton Arena,68 Main St W  Drayton ON N0G 1P0,Banquet Hall,12-May-2023,location.href = '/Facility/Details/d87163f6-5c68-4c44-b41f-e3c594acc54e' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/d87163f6-5c68-4c44-b41f-e3c594acc54e
Pokehana,2-18 Wilson St  Guelph ON N1G 4G5,Food Take Out,12-Jan-2024,location.href = '/Facility/Details/c5e1f4b0-c352-455b-942a-f3ee9808bc9e' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/c5e1f4b0-c352-455b-942a-f3ee9808bc9e
Polar Real Tropical Fruit Inc,5-70 Monarch Rd  Guelph ON N1K 1S3,Food Plant / Production,24-Apr-2023,location.href = '/Facility/Details/fa2b20f6-3e3f-4540-8e02-4d5bbfc7a931' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/fa2b20f6-3e3f-4540-8e02-4d5bbfc7a931
Polestar Hearth,535 Woolwich St  Guelph ON N1H 3X9,Bakery - Production,15-Mar-2023,location.href = '/Facility/Details/4ffbc402-f064-4ef2-a33a-85ebbd00f9e7' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/4ffbc402-f064-4ef2-a33a-85ebbd00f9e7
Polish Alliance of Canada,5 Empire St  Guelph ON N1E 2Y4,Banquet Hall,10-May-2023,location.href = '/Facility/Details/655caff1-5ab2-42c9-a4b7-a0155536dfd6' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/655caff1-5ab2-42c9-a4b7-a0155536dfd6
Polycon Cafeteria,65 Independence Pl  Guelph ON N1K 1H8,Cafeteria,29-Sep-2023,location.href = '/Facility/Details/0bbfa015-6f02-4b25-852d-54631f142ba2' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/0bbfa015-6f02-4b25-852d-54631f142ba2
Pooch's Wiener Wagon,280 Main St  Erin ON N0B 1T0,Hot Dog Cart,,location.href = '/Facility/Details/19b5dcb8-fada-4400-8a7f-c6ea4c6570e4' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/19b5dcb8-fada-4400-8a7f-c6ea4c6570e4
Popeyes Louisiana Kitchen,207219 Hwy 9  Mono ON L9W 6J1,Restaurant,14-Feb-2024,location.href = '/Facility/Details/d200aab5-92bd-47d5-9fac-bbf08bfdbbfe' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/d200aab5-92bd-47d5-9fac-bbf08bfdbbfe
Popeyes Louisiana Kitchen,5-98 First St  Orangeville ON L9W 3J6,Restaurant,31-Jan-2024,location.href = '/Facility/Details/bf5e8cf3-966b-4844-ba61-ddcaca2fbe2d' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/bf5e8cf3-966b-4844-ba61-ddcaca2fbe2d
Popeyes Louisiana Kitchen,290 ON-401  Cambridge ON N3C 2V4,Restaurant,12-Dec-2023,location.href = '/Facility/Details/8c6e707d-a3ed-455a-a9d9-0bdc5f528c76' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/8c6e707d-a3ed-455a-a9d9-0bdc5f528c76
Popeyes Louisiana Kitchen,80 Woodlawn Rd. W  Guelph ON N1H 1G8,Restaurant,15-Jan-2024,location.href = '/Facility/Details/080c9dba-a258-443c-9557-5a2d0ac9bd8d' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/080c9dba-a258-443c-9557-5a2d0ac9bd8d
Popeyes Louisiana Kitchen,14-35 Harvard Rd  Guelph ON N1G 4V8,Restaurant,07-Mar-2024,location.href = '/Facility/Details/9fd53cc4-dc8d-4da5-974b-567a170b4ec3' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/9fd53cc4-dc8d-4da5-974b-567a170b4ec3
Popeyes Louisiana Kitchen Fergus,769 Tower St S  Fergus ON N1M 2R2,Restaurant,05-Dec-2023,location.href = '/Facility/Details/9f965439-b634-458d-a5ef-8637fb9a8202' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/9f965439-b634-458d-a5ef-8637fb9a8202
Popeye's Supplements Canada,9-370 Stone Road West  Guelph ON N1G 4V9,Snack Bar / Refreshment Stand,13-Jun-2023,location.href = '/Facility/Details/cabfa5dc-e72a-48cb-add0-68192b6856da' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/cabfa5dc-e72a-48cb-add0-68192b6856da
Porch Light (The),1G-82 Metcalfe St  Elora ON N0B 1S0,Restaurant,09-Nov-2023,location.href = '/Facility/Details/9858553f-bfb0-45eb-bf2a-c8cad83e082d' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/9858553f-bfb0-45eb-bf2a-c8cad83e082d
Portage,6681 Irvine St  Centre Wellington ON N0B 1S0,Group / Lodging Home (>9),13-Mar-2024,location.href = '/Facility/Details/79a3937f-c84f-45c0-bcb3-f4284aa1a425' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/79a3937f-c84f-45c0-bcb3-f4284aa1a425
Portions - Distinctive Meals and More Inc,340 Woodlawn Rd W  Guelph ON N1H 7K6,Food Take Out,21-Feb-2024,location.href = '/Facility/Details/440734e6-faab-4f9c-a5e6-6fad9e1c9ff4' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/440734e6-faab-4f9c-a5e6-6fad9e1c9ff4
Post Script Kitchen,39 Elora St S  Minto ON N0G 1Z0,Banquet Hall,28-Aug-2023,location.href = '/Facility/Details/42eefd44-a7b0-45fa-8700-778504e40488' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/42eefd44-a7b0-45fa-8700-778504e40488
Preschool Canada - Food,322 Eastview Rd  Guelph ON N1E 0L2,Child Care Onsite Prep,11-Apr-2024,location.href = '/Facility/Details/77377949-485b-40cc-866d-775c106b2dcc' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/77377949-485b-40cc-866d-775c106b2dcc
Pressed for Time Paninis,113 Macdonell St  Guelph ON N1H 2Z7,Food Take Out,19-Jan-2024,location.href = '/Facility/Details/df069515-f7b1-422a-84ce-0ae964a084aa' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/df069515-f7b1-422a-84ce-0ae964a084aa
puffle CAFE,7-219 Silvercreek Pkwy N  Guelph ON N1H 7P8,Restaurant,08-Mar-2024,location.href = '/Facility/Details/71843de8-9f59-4c36-a9c9-a0a508a75a62' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/71843de8-9f59-4c36-a9c9-a0a508a75a62
Pulse Cafe,100 Rolling Hills  Orangeville ON L9W 2C8,Snack Bar / Refreshment Stand,08-Dec-2023,location.href = '/Facility/Details/146738d4-ca7c-476c-b170-e69c928cc386' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/146738d4-ca7c-476c-b170-e69c928cc386
Pumphouse Supplements,31 Farley Dr  Guelph ON N1L 0B7,Snack Bar / Refreshment Stand,31-Oct-2023,location.href = '/Facility/Details/efbeedc8-c1cf-4413-830f-3bca23a2069f' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/efbeedc8-c1cf-4413-830f-3bca23a2069f
Purdys Chocolates,A9-435 Stone Road W.  Guelph ON N1G 2X6,Food Take Out,23-May-2023,location.href = '/Facility/Details/ffadcc01-1289-4a1f-b542-88443e059ac6' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/ffadcc01-1289-4a1f-b542-88443e059ac6
Puslinch Community Centre,23 Brock Road S  Aberfoyle ON N0B 2C0,Banquet Hall,17-Apr-2024,location.href = '/Facility/Details/97544253-b059-4b33-9842-14c17e14130c' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/97544253-b059-4b33-9842-14c17e14130c
Puslinch Lake Golf Course,6527 Ellis Rd  Puslinch ON N3C 2V4,Restaurant,21-Sep-2023,location.href = '/Facility/Details/762f71f0-9f72-4b66-8b5e-3c70e70c4aee' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/762f71f0-9f72-4b66-8b5e-3c70e70c4aee
Pyramid Pizza & Wings,206 Speedvale Ave W  Guelph ON N1H 1C4,Restaurant,12-Feb-2024,location.href = '/Facility/Details/ab367efe-6856-4eda-b41c-7bca90b7ec4e' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/ab367efe-6856-4eda-b41c-7bca90b7ec4e
QB Bakery & Deli,86 Dawson Rd  Guelph ON N1H 1A8,Bakery - Production,27-Feb-2024,location.href = '/Facility/Details/89c859bf-27ba-4729-9d71-8aa29509aa9e' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/89c859bf-27ba-4729-9d71-8aa29509aa9e
Quality Indian Food and Spices,16-500 Willow Rd  Guelph ON N1H 7G4,Food Take Out,12-Mar-2024,location.href = '/Facility/Details/e898848e-5e59-4483-a2f7-1f988b697b57' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/e898848e-5e59-4483-a2f7-1f988b697b57
Quesada Burritos & Tacos,1-2 Thompson Crescent  Erin ON N0B 1T0,Food Take Out,16-Jan-2024,location.href = '/Facility/Details/4fcf53ce-9e05-4ee1-aad0-927687944678' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/4fcf53ce-9e05-4ee1-aad0-927687944678
Quesada Burritos & Tacos,2-103 Clair Rd E  Guelph ON N1L 0J7,Restaurant,19-Jan-2024,location.href = '/Facility/Details/52ae8bc5-0eb4-4b8e-aac1-b6918752a7a3' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/52ae8bc5-0eb4-4b8e-aac1-b6918752a7a3
Quesada Burritos and Tacos,B-235 Centennial Rd  Orangeville ON L9W 5L1,Food Take Out,14-Feb-2024,location.href = '/Facility/Details/38363a60-00f9-4bd6-983a-2a1519c186e3' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/38363a60-00f9-4bd6-983a-2a1519c186e3
Quesada Burritos and Tacos Fergus,104A-840 Tower St S  Fergus ON N1M 2R3,Restaurant,15-Nov-2023,location.href = '/Facility/Details/be22e815-190a-470d-97ea-9e69ddda7518' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/be22e815-190a-470d-97ea-9e69ddda7518
Quest for Cakes Bakery Inc (The),4-48 Centennial Rd  Orangeville ON L9W 3T4,Baked Goods - Retail,25-Jul-2023,location.href = '/Facility/Details/8e0468c3-be2f-4a8d-93d9-5c71a81e385e' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/8e0468c3-be2f-4a8d-93d9-5c71a81e385e
