Facility Name,Site Address,Facility Type,Last Inspection Date,url_entity_partial,category,Type,Offense,Outcome,Offense Date,Comment,Resolved Date,url_entity_full
Capelli Salon Inc,5690 Malden Rd LaSalle ON N9H 1S1,Barber Shop/Hair Salon,06-Dec-2023,location.href = '/disclosure/Facility/Details/5310fd1c-d39a-4323-b5fa-d48492f0bf0a' ,Personal Services & Child Care,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/5310fd1c-d39a-4323-b5fa-d48492f0bf0a
Capri Pizzeria Recreation Complex,2555 Pulford St Windsor ON N9E 0A7,Child Care Setting,11-Oct-2023,location.href = '/disclosure/Facility/Details/5797daa7-0c40-4658-9025-9ad906c64af3' ,Personal Services & Child Care,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/5797daa7-0c40-4658-9025-9ad906c64af3
Captain's Chair Barber Shop,916 Wyandotte St E Windsor ON N9A 3J8,Barber Shop/Hair Salon,,location.href = '/disclosure/Facility/Details/124d5e66-65b5-4938-9dbc-5d8d5b3f3c65' ,Personal Services & Child Care,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/124d5e66-65b5-4938-9dbc-5d8d5b3f3c65
Cardinal Place,3140 Peter St Windsor ON N9C 1H3,Aesthetics/Nail Salon,23-Mar-2023,location.href = '/disclosure/Facility/Details/cfdf59fd-78cb-4664-860c-b28fca9a46b3' ,Personal Services & Child Care,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/cfdf59fd-78cb-4664-860c-b28fca9a46b3
Carizma Hair Salon,2425 Dougall Ave Windsor ON N9E 1S2,Barber Shop/Hair Salon,18-Jan-2024,location.href = '/disclosure/Facility/Details/436e127a-0228-49d1-975c-18081fc9c295' ,Personal Services & Child Care,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/436e127a-0228-49d1-975c-18081fc9c295
Carols Unisex Hair Design,255 Bathurst St Amherstburg ON N9V 1Y8,Barber Shop/Hair Salon,23-Jan-2024,location.href = '/disclosure/Facility/Details/28a76dda-6375-4074-9ffb-eeedb3c15181' ,Personal Services & Child Care,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/28a76dda-6375-4074-9ffb-eeedb3c15181
Charis Beauty Esthetics Inc,1279 Clover Ave Windsor ON N8P 1R2,Aesthetics/Nail Salon,30-Nov-2023,location.href = '/disclosure/Facility/Details/8546eb97-3d25-432a-af0e-15e861c7f901' ,Personal Services & Child Care,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/8546eb97-3d25-432a-af0e-15e861c7f901
Chartwell Leamington,1 Henry Ave Leamington ON N8H 5P1,Barber Shop/Hair Salon,20-Nov-2023,location.href = '/disclosure/Facility/Details/ea95e2c5-318b-4f5d-8f37-4a72bfa7a3fc' ,Personal Services & Child Care,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/ea95e2c5-318b-4f5d-8f37-4a72bfa7a3fc
Chartwell Oak Park LaSalle Retirement Residence,3955 Thirteenth St LaSalle ON N9H 2S7,Barber Shop/Hair Salon,07-Dec-2023,location.href = '/disclosure/Facility/Details/ac6949a4-b71c-47eb-a92e-ecac70861ac6' ,Personal Services & Child Care,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/ac6949a4-b71c-47eb-a92e-ecac70861ac6
Chartwell Oak Park Terrace Retirement Residence,1750 North Service Rd E Windsor ON N8W 1V3,Barber Shop/Hair Salon,07-Nov-2023,location.href = '/disclosure/Facility/Details/e8e4bbdc-e697-45de-bb66-8b8bb21055c1' ,Personal Services & Child Care,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/e8e4bbdc-e697-45de-bb66-8b8bb21055c1
Chartwell Royal Marquis-Naila's Salon,590 Grand Marais Rd E Windsor ON N8X 3H4,Barber Shop/Hair Salon,28-Aug-2023,location.href = '/disclosure/Facility/Details/04a33c64-1f5b-4860-a664-1e71fd489a79' ,Personal Services & Child Care,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/04a33c64-1f5b-4860-a664-1e71fd489a79
Chartwell St. Clair Beach Retirement Salon,13500 Riverside Dr E Tecumseh ON N8N 0C3,Barber Shop/Hair Salon,24-Apr-2024,location.href = '/disclosure/Facility/Details/c305da3c-b315-40f0-a6b6-14e1185c9d3f' ,Personal Services & Child Care,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/c305da3c-b315-40f0-a6b6-14e1185c9d3f
Chateau Park Nursing Home,B-2990 Riverside Dr W Windsor ON N9C 1A2,Barber Shop/Hair Salon,25-Jan-2024,location.href = '/disclosure/Facility/Details/f5246f69-95eb-43ad-a130-924c608acf40' ,Personal Services & Child Care,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/f5246f69-95eb-43ad-a130-924c608acf40
Ciao Beauty Bar,1775 Sprucewood Ave Lasalle ON N9J 1X7,Barber Shop/Hair Salon,15-Feb-2024,location.href = '/disclosure/Facility/Details/4e7536ff-b14e-4187-af78-a1a2d759a8b1' ,Personal Services & Child Care,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/4e7536ff-b14e-4187-af78-a1a2d759a8b1
Cindy Shafer,5065 Riverside Dr E Windsor ON N8N 5B3,Barber Shop/Hair Salon,04-Jul-2023,location.href = '/disclosure/Facility/Details/d57ae83f-97b4-4342-9b8f-5f769657ac89' ,Personal Services & Child Care,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/d57ae83f-97b4-4342-9b8f-5f769657ac89
