Inspection Type,Inspection Date,url_inspection,url_inspection_full,url_entity_full
Required,03-Jan-2024,location.href = '/disclosure/Inspection/Details/693bbf65-db73-47d8-a014-49c1bc0a32d9' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/693bbf65-db73-47d8-a014-49c1bc0a32d9,https://disclosure55.wechu.org/disclosure/Facility/Details/cb42ddfe-921c-4ede-ad4c-376a99e4c5b2
Re-Inspection,26-Jan-2023,location.href = '/disclosure/Inspection/Details/60cb3ccb-f117-4f94-a224-3e4f19316a2c' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/60cb3ccb-f117-4f94-a224-3e4f19316a2c,https://disclosure55.wechu.org/disclosure/Facility/Details/cb42ddfe-921c-4ede-ad4c-376a99e4c5b2
Required,24-Jan-2023,location.href = '/disclosure/Inspection/Details/c4d544d2-2697-4730-8538-2c01b8e46545' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/c4d544d2-2697-4730-8538-2c01b8e46545,https://disclosure55.wechu.org/disclosure/Facility/Details/cb42ddfe-921c-4ede-ad4c-376a99e4c5b2
Required,07-Sep-2022,location.href = '/disclosure/Inspection/Details/3ac54719-16a7-4e9b-baa8-788fd4a4e44f' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/3ac54719-16a7-4e9b-baa8-788fd4a4e44f,https://disclosure55.wechu.org/disclosure/Facility/Details/cb42ddfe-921c-4ede-ad4c-376a99e4c5b2
Re-Inspection,22-Feb-2023,location.href = '/disclosure/Inspection/Details/60cc8a94-a0aa-4ee6-930e-be8c91705373' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/60cc8a94-a0aa-4ee6-930e-be8c91705373,https://disclosure55.wechu.org/disclosure/Facility/Details/ad87c4a4-d000-4ca5-9c3b-07d329f789aa
Required,14-Feb-2023,location.href = '/disclosure/Inspection/Details/6e2e6c6c-f18b-44d1-8c15-1ca6dc5206b9' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/6e2e6c6c-f18b-44d1-8c15-1ca6dc5206b9,https://disclosure55.wechu.org/disclosure/Facility/Details/ad87c4a4-d000-4ca5-9c3b-07d329f789aa
Re-Inspection,14-Dec-2022,location.href = '/disclosure/Inspection/Details/7155d18f-b448-49a9-8384-17f5e96714e1' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/7155d18f-b448-49a9-8384-17f5e96714e1,https://disclosure55.wechu.org/disclosure/Facility/Details/ad87c4a4-d000-4ca5-9c3b-07d329f789aa
Required,07-Dec-2022,location.href = '/disclosure/Inspection/Details/1fb20103-94ac-452d-a1cd-19f8473a106c' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/1fb20103-94ac-452d-a1cd-19f8473a106c,https://disclosure55.wechu.org/disclosure/Facility/Details/ad87c4a4-d000-4ca5-9c3b-07d329f789aa
Re-Inspection,29-Jan-2024,location.href = '/disclosure/Inspection/Details/81572e2d-4a1b-4eed-8d5d-bfcc7ea1eb0e' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/81572e2d-4a1b-4eed-8d5d-bfcc7ea1eb0e,https://disclosure55.wechu.org/disclosure/Facility/Details/15302bb9-8c59-4123-9f0e-cfbbd8124376
Required,22-Jan-2024,location.href = '/disclosure/Inspection/Details/0ccffeb8-a65d-4107-b601-db9c2973a223' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/0ccffeb8-a65d-4107-b601-db9c2973a223,https://disclosure55.wechu.org/disclosure/Facility/Details/15302bb9-8c59-4123-9f0e-cfbbd8124376
Required,16-Jan-2023,location.href = '/disclosure/Inspection/Details/a8c67098-8c33-44e2-8054-29225424c66a' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/a8c67098-8c33-44e2-8054-29225424c66a,https://disclosure55.wechu.org/disclosure/Facility/Details/65eb1527-ea27-4e66-8a47-9fdc85df0b6b
Re-Inspection,26-Apr-2023,location.href = '/disclosure/Inspection/Details/9285f72a-8085-49f7-8ff5-1c2f42b5bfe5' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/9285f72a-8085-49f7-8ff5-1c2f42b5bfe5,https://disclosure55.wechu.org/disclosure/Facility/Details/d556fb1c-fdc1-4073-a990-e57c57da7d71
Re-Inspection,17-Mar-2023,location.href = '/disclosure/Inspection/Details/51775024-9d31-4520-a18c-415463de3d32' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/51775024-9d31-4520-a18c-415463de3d32,https://disclosure55.wechu.org/disclosure/Facility/Details/d556fb1c-fdc1-4073-a990-e57c57da7d71
Required,23-Feb-2023,location.href = '/disclosure/Inspection/Details/2907d741-63bc-4ac7-a85d-cea51e8b0111' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/2907d741-63bc-4ac7-a85d-cea51e8b0111,https://disclosure55.wechu.org/disclosure/Facility/Details/d556fb1c-fdc1-4073-a990-e57c57da7d71
Required,12-Jan-2024,location.href = '/disclosure/Inspection/Details/876ea99f-dad0-45be-aeb4-d97090e1db7b' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/876ea99f-dad0-45be-aeb4-d97090e1db7b,https://disclosure55.wechu.org/disclosure/Facility/Details/83bc51a1-1e10-4b52-ae33-ed62147b3abb
Required,23-Jan-2023,location.href = '/disclosure/Inspection/Details/c612b9b7-4085-49ee-98ea-d517b097ac05' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/c612b9b7-4085-49ee-98ea-d517b097ac05,https://disclosure55.wechu.org/disclosure/Facility/Details/83bc51a1-1e10-4b52-ae33-ed62147b3abb
Required,22-Jul-2022,location.href = '/disclosure/Inspection/Details/2c7b1352-e433-46b4-bfde-5f077cae6093' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/2c7b1352-e433-46b4-bfde-5f077cae6093,https://disclosure55.wechu.org/disclosure/Facility/Details/83bc51a1-1e10-4b52-ae33-ed62147b3abb
