Inspection Date,Inspection Type,url_inspection,url_inspection_full,url_entity_full
19-Sep-2022,Required,location.href = '/Inspection/Details/315c45f0-ded8-43ee-a0db-d5f21ae1e04c' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/315c45f0-ded8-43ee-a0db-d5f21ae1e04c,https://checkbeforeyougo.phsd.ca/Facility/Details/31c2329e-5358-4286-a5a1-359daaac70b1
20-Mar-2024,Required,location.href = '/Inspection/Details/e330888c-fc9a-4600-a32d-009a7edcc069' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/e330888c-fc9a-4600-a32d-009a7edcc069,https://checkbeforeyougo.phsd.ca/Facility/Details/27515450-92bd-4b2f-b8cf-55e7f2b253d7
10-Feb-2023,Required,location.href = '/Inspection/Details/41eeae65-8ed4-45c4-b842-2a488f6deded' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/41eeae65-8ed4-45c4-b842-2a488f6deded,https://checkbeforeyougo.phsd.ca/Facility/Details/27515450-92bd-4b2f-b8cf-55e7f2b253d7
04-Nov-2022,Required,location.href = '/Inspection/Details/52622f91-397d-4da9-bd40-c1875dcb3250' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/52622f91-397d-4da9-bd40-c1875dcb3250,https://checkbeforeyougo.phsd.ca/Facility/Details/27515450-92bd-4b2f-b8cf-55e7f2b253d7
04-Apr-2024,Follow-up,location.href = '/Inspection/Details/c5a00246-6ef6-4c13-b485-4d6fa75da345' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/c5a00246-6ef6-4c13-b485-4d6fa75da345,https://checkbeforeyougo.phsd.ca/Facility/Details/c21e5a53-7b98-4edb-808f-59d8100f98ac
05-Mar-2024,Follow-up,location.href = '/Inspection/Details/f66f8304-6ac6-462b-bcaa-80ee352c9594' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/f66f8304-6ac6-462b-bcaa-80ee352c9594,https://checkbeforeyougo.phsd.ca/Facility/Details/c21e5a53-7b98-4edb-808f-59d8100f98ac
29-Jan-2024,Required,location.href = '/Inspection/Details/f3f3fba4-0615-4259-9f59-3c83b5ef6507' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/f3f3fba4-0615-4259-9f59-3c83b5ef6507,https://checkbeforeyougo.phsd.ca/Facility/Details/c21e5a53-7b98-4edb-808f-59d8100f98ac
22-Nov-2023,Follow-up,location.href = '/Inspection/Details/1b2b5260-adca-4b6f-90df-f629df33001b' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/1b2b5260-adca-4b6f-90df-f629df33001b,https://checkbeforeyougo.phsd.ca/Facility/Details/c21e5a53-7b98-4edb-808f-59d8100f98ac
25-Sep-2023,Follow-up,location.href = '/Inspection/Details/02f0935c-88a8-4f9f-9f4f-3dfeeedba62c' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/02f0935c-88a8-4f9f-9f4f-3dfeeedba62c,https://checkbeforeyougo.phsd.ca/Facility/Details/c21e5a53-7b98-4edb-808f-59d8100f98ac
12-Jan-2023,Required,location.href = '/Inspection/Details/ba6c6fcf-d61d-402a-a3bd-3df09e8e22a3' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/ba6c6fcf-d61d-402a-a3bd-3df09e8e22a3,https://checkbeforeyougo.phsd.ca/Facility/Details/c21e5a53-7b98-4edb-808f-59d8100f98ac
