Facility Name,Site Address,Facility Type,Last Inspection Date,url_entity_partial,category,Services Inspected,Type,Offense,Outcome,Offense Date,Comment,Resolved Date,url_entity_full
M & M Meat Shops,3030 Hwy 69 N  Val Caron ON P3N 1R8,Food Store (Convenience / Variety),25-Apr-2023,location.href = '/Facility/Details/87585591-4427-4e19-9202-eb94a8baddf5' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/87585591-4427-4e19-9202-eb94a8baddf5
M & M Meat Shops,1485 Lasalle Blvd  Sudbury ON P3A 5H7,Food Store (Convenience / Variety),31-Jan-2024,location.href = '/Facility/Details/10c51422-a2a0-4772-b219-c2c83ba09fca' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/10c51422-a2a0-4772-b219-c2c83ba09fca
M & M Meat Shops,1500 Paris St  Sudbury ON P3E 3B8,Food Store (Convenience / Variety),25-Mar-2024,location.href = '/Facility/Details/6bd43853-e6ff-4cb9-857b-ce9d5ebd191b' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/6bd43853-e6ff-4cb9-857b-ce9d5ebd191b
M & M Meat Shops Mobile BBQ Catering,Mobile food premises operates at varying locations,Mobile Food Premises,03-May-2024,location.href = '/Facility/Details/49773122-0a0a-4d48-92fa-0222d00e16a5' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/49773122-0a0a-4d48-92fa-0222d00e16a5
M & R Grill,7 Young Street  Capreol ON P0M 1H0,Restaurant,14-Feb-2024,location.href = '/Facility/Details/b9d605ea-a3fd-409d-b053-05a92b0232f9' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/b9d605ea-a3fd-409d-b053-05a92b0232f9
M.I.C. Canadian Eatery & Whisky Pub,200 Falconbridge Rd  Sudbury ON P3A 5K3,Restaurant,04-Mar-2024,location.href = '/Facility/Details/5bdb0b61-0896-4b64-99ee-597ab97010cc' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/5bdb0b61-0896-4b64-99ee-597ab97010cc
Mache-Kino Lodge,"Raney Township, Denyes Lake  ON",Restaurant,09-Aug-2023,location.href = '/Facility/Details/74bb5c31-b993-4bd1-8a7d-1915ebc260aa' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/74bb5c31-b993-4bd1-8a7d-1915ebc260aa
MacLeod Public School,23 Walford Rd  Sudbury ON P3E 2H2,School Nourishment Program,03-May-2023,location.href = '/Facility/Details/abe067d4-c153-45f5-bbdf-e99e4288a4bf' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/abe067d4-c153-45f5-bbdf-e99e4288a4bf
Madison Confectionery,2176 Madison Avenue  Sudbury ON P3A 4L2,Food Store (Convenience / Variety),27-Feb-2024,location.href = '/Facility/Details/d572759c-eae4-46b7-9572-5c5eeb5b45ff' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/d572759c-eae4-46b7-9572-5c5eeb5b45ff
Magic Triangle Magique,4617 Ste Therese Street  Val Therese ON P3P 1S5,Child-Care Setting Catered,03-Apr-2024,location.href = '/Facility/Details/3dfd5099-7754-4629-9bf1-7390ed96c33d' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/3dfd5099-7754-4629-9bf1-7390ed96c33d
Magic Triangle Magique,648 O'Neil Drive West  Garson ON P3L 1T6,Child-Care Setting Catered,09-Apr-2024,location.href = '/Facility/Details/acec3935-156d-458b-88e4-69e76eb65151' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/acec3935-156d-458b-88e4-69e76eb65151
Magic Triangle Magique,1840 Valley View Road  Val Caron ON P3N 1S1,Child-Care Setting Food Preparation,15-Jan-2024,location.href = '/Facility/Details/f8690e48-a355-4294-9ca6-a568a2d27ed8' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/f8690e48-a355-4294-9ca6-a568a2d27ed8
Magic Triangle Magique,1200 Ramsey View Court  Sudbury ON P3E 5M3,Child-Care Setting Food Preparation,29-Jan-2024,location.href = '/Facility/Details/3146667f-9067-4fb4-8c36-848d5b8ae260' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/3146667f-9067-4fb4-8c36-848d5b8ae260
Magic Triangle Magique,1215 St-Anthony Street  Hanmer ON P3P 1B7,Child-Care Setting Catered,06-Feb-2024,location.href = '/Facility/Details/d202100e-40bd-4902-a016-292497fc265f' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/d202100e-40bd-4902-a016-292497fc265f
