Facility Name,Facility Type,Last Inspection Date,Site Address,url_entity_partial,category,Type,Offense,Outcome,Offense Date,Resolved Date,url_entity_full
Latin Flair,Convenience / Variety,14-Jul-2023,203 Main St of Delhi Delhi ON N4B 2M3,location.href = '/Portal/Facility/Details/960c17e6-1bee-49a6-b209-f68fa6cf34c0' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/960c17e6-1bee-49a6-b209-f68fa6cf34c0
Leaven to Loaf,Home-Based Kitchen,16-Apr-2024,37 Mapleview Drive Hagersville N0A 1H0,location.href = '/Portal/Facility/Details/66c7030b-7db4-4eb9-80e3-2e74f082a25d' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/66c7030b-7db4-4eb9-80e3-2e74f082a25d
Leisure Living,Retirement Home,05-Mar-2024,98 Talbot Street E. Jarvis ON N0A 1J0,location.href = '/Portal/Facility/Details/8fcfface-3d9c-44bd-af92-f19de8a7dfbb' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/8fcfface-3d9c-44bd-af92-f19de8a7dfbb
Life Line Food Bank,Food Bank,29-Sep-2023,215 Market St. E Port Dover ON N0A 1A0,location.href = '/Portal/Facility/Details/5e9f7445-c019-4511-b26c-dccb832b97a3' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/5e9f7445-c019-4511-b26c-dccb832b97a3
Lighthouse Festival Theatre,Snack Bar / Refreshment Stand,15-Sep-2023,247 Main St Port Dover ON N0A 1N0,location.href = '/Portal/Facility/Details/36d6fef8-1705-4402-9d56-6ec3acc24aa9' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/36d6fef8-1705-4402-9d56-6ec3acc24aa9
Lily Mart,Supermarket,19-May-2023,190 Townline St St. Williams ON N0E 1P0,location.href = '/Portal/Facility/Details/2bad1421-1316-4694-a028-2c43129c0453' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/2bad1421-1316-4694-a028-2c43129c0453
Lily's Tacos,Restaurant,25-Jan-2024,5 Kent St N Simcoe ON N3Y 3S1,location.href = '/Portal/Facility/Details/43867c8f-750e-439e-abd2-307ef697532e' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/43867c8f-750e-439e-abd2-307ef697532e
Liquidation and Discount Outlet,Convenience / Variety,18-Apr-2023,86 Culver St Simcoe ON N3Y 2V5,location.href = '/Portal/Facility/Details/53b10707-cfef-427b-bb6c-8f524967fcea' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/53b10707-cfef-427b-bb6c-8f524967fcea
Little Caesars,Food Take Out,31-Jan-2024,128 Queensway W. Simcoe ON N3Y 2M6,location.href = '/Portal/Facility/Details/d8d09310-ad07-4cdf-9c17-74e23f91524d' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/d8d09310-ad07-4cdf-9c17-74e23f91524d
Little Caesars,Restaurant,15-Jan-2024,2-351 Argyle St S. Caledonia ON N3W 1K7,location.href = '/Portal/Facility/Details/0a2e5f10-e2e0-47e9-8856-c374f9d559bf' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/0a2e5f10-e2e0-47e9-8856-c374f9d559bf
Little Ding's Pizza & Sports Cayuga,Restaurant,04-Mar-2024,7 Cayuga St. N Cayuga ON N0A 1E0,location.href = '/Portal/Facility/Details/947df5c9-7076-49cb-ae3c-9fc8c62cc24d' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/947df5c9-7076-49cb-ae3c-9fc8c62cc24d
Little Johnny's Pizza & Submarine,Restaurant,23-Feb-2024,2007 Main St S Jarvis ON N0A 1J0,location.href = '/Portal/Facility/Details/f8ab10ce-729e-4279-8f2c-475568fd1d8b' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/f8ab10ce-729e-4279-8f2c-475568fd1d8b
Little People's Academy,Child Care Onsite Prep.,16-Feb-2024,254 Robinson Road Dunnville ON N1A 2W1,location.href = '/Portal/Facility/Details/df1ab085-e38b-4eb0-a212-f21000e6bb69' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/df1ab085-e38b-4eb0-a212-f21000e6bb69
Little Sagi Caribbean Restaurant,Restaurant,29-Feb-2024,29 Water St Simcoe ON N3Y 1P8,location.href = '/Portal/Facility/Details/720f37ca-aaaf-45cf-9e6b-2f3da8dc761e' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/720f37ca-aaaf-45cf-9e6b-2f3da8dc761e
Lowbanks Community Centre,Community Hall,31-Oct-2023,2633 Northshore Drive Lowbanks ON N0A 1K0,location.href = '/Portal/Facility/Details/155216f9-f605-4a5d-8c1c-6a7c97a261e6' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/155216f9-f605-4a5d-8c1c-6a7c97a261e6
Lucky 7 Variety Store & Gas,Convenience / Variety,15-Mar-2023,6073 Hwy 3 Cayuga ON N0A 1E0,location.href = '/Portal/Facility/Details/f4a29277-f962-468c-ae26-3d0e2765a591' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/f4a29277-f962-468c-ae26-3d0e2765a591
Lucky Lee's,General Store,19-Sep-2023,"1725 McDowell Rd. E Simcoe, ON N3Y 4K5",location.href = '/Portal/Facility/Details/28582548-a378-4b64-8ba8-cf6e599dbcc2' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/28582548-a378-4b64-8ba8-cf6e599dbcc2
Lupton Street Studio,Cafeteria,19-Sep-2023,17 Talbot St. East Jarvis ON N0A 1J0,location.href = '/Portal/Facility/Details/45000572-38a8-42a2-aaea-eb7255540e9a' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/45000572-38a8-42a2-aaea-eb7255540e9a
Luxe and Company,Cocktail Bar/Beverage Room,08-Mar-2024,2022 Main Street N Jarvis ON,location.href = '/Portal/Facility/Details/25279e3b-544b-49eb-ad8a-c305ce01f01b' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/25279e3b-544b-49eb-ad8a-c305ce01f01b
Lviv Castle Restaurant & Deli,Restaurant,09-Feb-2024,201 Main St Port Dover ON N0A 1N0,location.href = '/Portal/Facility/Details/b89d6802-2b66-47e1-a154-3c4616cef755' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/b89d6802-2b66-47e1-a154-3c4616cef755
Lynndale Heights Public School,School Nutrition Program,28-Nov-2023,55 Donly Drive S. Simcoe ON,location.href = '/Portal/Facility/Details/77719d45-4625-45a0-8f47-c5bf4dce45ea' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/77719d45-4625-45a0-8f47-c5bf4dce45ea
Lynnville United Church,Church Banquet Facility,21-Jun-2023,1418 Windham Rd 11 Lynnville ON N0E 2A0,location.href = '/Portal/Facility/Details/9f9aa754-2775-4fa0-af29-db962db0f158' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/9f9aa754-2775-4fa0-af29-db962db0f158
M & M Meat Shops,Convenience / Variety,09-Jan-2024,95 Queensway W. Simcoe ON N3Y 2M3,location.href = '/Portal/Facility/Details/42032146-60c5-4881-b061-8d3a781b4796' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/42032146-60c5-4881-b061-8d3a781b4796
Maawdoo Maajaamin Children's Centre,Child Care Onsite Prep.,10-Jan-2024,70 Parkview Rd Hagersville ON N0H 1H0,location.href = '/Portal/Facility/Details/ba3ff291-022b-4d1d-a060-268abbc3a2ef' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/ba3ff291-022b-4d1d-a060-268abbc3a2ef
Magic Mart,Convenience / Variety,28-Mar-2023,57 Main Street S Waterford ON N0E 1Y0,location.href = '/Portal/Facility/Details/a9e47ef3-cce3-4dd8-94ec-8a02881b617c' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/a9e47ef3-cce3-4dd8-94ec-8a02881b617c
Mai & Pai's,Restaurant,04-Jan-2024,382 James St Delhi ON N4B 2B7,location.href = '/Portal/Facility/Details/9580e568-6179-4a63-826d-8f845b9036dd' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/9580e568-6179-4a63-826d-8f845b9036dd
Main 88,Restaurant,27-Mar-2024,88 Main St Hagersville ON N0A 1H0,location.href = '/Portal/Facility/Details/80b34454-7c4b-428b-9f98-aa0a29a762f6' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/80b34454-7c4b-428b-9f98-aa0a29a762f6
Maple Creek Community Church,Church Banquet Facility,02-Apr-2024,110 Inman Rd Dunnville ON N1A 3B8,location.href = '/Portal/Facility/Details/9c32cc76-5070-480e-b4b9-b4768455e80c' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/9c32cc76-5070-480e-b4b9-b4768455e80c
Maple Lodge Retirement Home,Retirement Home,23-Jan-2024,154 Maple St Simcoe ON N3Y 2G6,location.href = '/Portal/Facility/Details/24dca2d5-b1e6-4245-9421-b5d00d82d3e7' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/24dca2d5-b1e6-4245-9421-b5d00d82d3e7
Mapleview Elementary,Before and After School Program,04-Dec-2023,223 Fairview Ave. W Dunnville ON N1A 1M4,location.href = '/Portal/Facility/Details/47fe80cb-a563-498f-85b0-8b4aa3cb2d85' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/47fe80cb-a563-498f-85b0-8b4aa3cb2d85
Marburg Community Hall,Community Hall,23-Nov-2023,1345 Lynn Valley Rd Port Dover ON N0A 1N1,location.href = '/Portal/Facility/Details/e4bc2f1a-065d-44b6-86f2-4f7392758f84' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/e4bc2f1a-065d-44b6-86f2-4f7392758f84
