Inspection Date,Inspection Type,Critical Infractions Count,Non Critical Infractions Count,Inspection Result,url_inspection,url_inspection_full,url_entity_full
21-Jun-2023,Required,0,0,,location.href = '/Inspection/Details/c39fcb21-c850-4364-8bef-50eab32fdef3' ,http://choosewise.nwhu.on.ca/Inspection/Details/c39fcb21-c850-4364-8bef-50eab32fdef3,http://choosewise.nwhu.on.ca/Facility/Details/b5136a6b-7bff-45c5-aadf-1b1fd0833db4
11-Oct-2023,Required,0,1,,location.href = '/Inspection/Details/906c7b79-235d-41a4-ac8c-6e8d0c88db39' ,http://choosewise.nwhu.on.ca/Inspection/Details/906c7b79-235d-41a4-ac8c-6e8d0c88db39,http://choosewise.nwhu.on.ca/Facility/Details/bfc327b7-fe12-42e3-aa3e-e58b16264fa4
31-Aug-2023,Required,0,0,,location.href = '/Inspection/Details/597e1e53-1119-4e34-a658-49322be1e63c' ,http://choosewise.nwhu.on.ca/Inspection/Details/597e1e53-1119-4e34-a658-49322be1e63c,http://choosewise.nwhu.on.ca/Facility/Details/bfc327b7-fe12-42e3-aa3e-e58b16264fa4
19-Apr-2023,Required,0,0,,location.href = '/Inspection/Details/cbcc7217-388d-4440-846a-f96a0c9a8ebd' ,http://choosewise.nwhu.on.ca/Inspection/Details/cbcc7217-388d-4440-846a-f96a0c9a8ebd,http://choosewise.nwhu.on.ca/Facility/Details/bfc327b7-fe12-42e3-aa3e-e58b16264fa4
19-Aug-2022,Required,0,0,,location.href = '/Inspection/Details/009adb22-1348-4823-8cb6-4254de948a00' ,http://choosewise.nwhu.on.ca/Inspection/Details/009adb22-1348-4823-8cb6-4254de948a00,http://choosewise.nwhu.on.ca/Facility/Details/bfc327b7-fe12-42e3-aa3e-e58b16264fa4
05-Nov-2021,Follow-up,0,0,,location.href = '/Inspection/Details/588b9b15-d1bf-4805-ad31-0d54b59ad876' ,http://choosewise.nwhu.on.ca/Inspection/Details/588b9b15-d1bf-4805-ad31-0d54b59ad876,http://choosewise.nwhu.on.ca/Facility/Details/bfc327b7-fe12-42e3-aa3e-e58b16264fa4
21-Oct-2021,Required,1,0,,location.href = '/Inspection/Details/53966267-3bd3-4c6c-bfb4-da5dc35fef5a' ,http://choosewise.nwhu.on.ca/Inspection/Details/53966267-3bd3-4c6c-bfb4-da5dc35fef5a,http://choosewise.nwhu.on.ca/Facility/Details/bfc327b7-fe12-42e3-aa3e-e58b16264fa4
31-Jan-2020,Required,0,1,,location.href = '/Inspection/Details/910deb82-e818-465d-b1a4-e8c19fc4f482' ,http://choosewise.nwhu.on.ca/Inspection/Details/910deb82-e818-465d-b1a4-e8c19fc4f482,http://choosewise.nwhu.on.ca/Facility/Details/bfc327b7-fe12-42e3-aa3e-e58b16264fa4
05-Jan-2024,Follow-up,0,0,,location.href = '/Inspection/Details/d8d2b34f-b6c1-40d3-9a62-abc3e425a25e' ,http://choosewise.nwhu.on.ca/Inspection/Details/d8d2b34f-b6c1-40d3-9a62-abc3e425a25e,http://choosewise.nwhu.on.ca/Facility/Details/95ebe3e3-df5b-45b2-a300-e06381a7ceed
27-Dec-2023,Required,2,2,,location.href = '/Inspection/Details/869a04fb-a11d-4fb0-8509-0c8dccbdfac1' ,http://choosewise.nwhu.on.ca/Inspection/Details/869a04fb-a11d-4fb0-8509-0c8dccbdfac1,http://choosewise.nwhu.on.ca/Facility/Details/95ebe3e3-df5b-45b2-a300-e06381a7ceed
13-Jun-2023,Required,1,0,,location.href = '/Inspection/Details/fa20e76f-d828-4153-8f68-a15be4af9837' ,http://choosewise.nwhu.on.ca/Inspection/Details/fa20e76f-d828-4153-8f68-a15be4af9837,http://choosewise.nwhu.on.ca/Facility/Details/95ebe3e3-df5b-45b2-a300-e06381a7ceed
23-Sep-2022,Required,0,1,,location.href = '/Inspection/Details/6899bfeb-1f39-4d94-a119-88fcf43f74a0' ,http://choosewise.nwhu.on.ca/Inspection/Details/6899bfeb-1f39-4d94-a119-88fcf43f74a0,http://choosewise.nwhu.on.ca/Facility/Details/95ebe3e3-df5b-45b2-a300-e06381a7ceed
25-Jun-2020,Required,0,0,,location.href = '/Inspection/Details/aef3c5b6-fcce-49a1-bc47-571a8eb4d4ef' ,http://choosewise.nwhu.on.ca/Inspection/Details/aef3c5b6-fcce-49a1-bc47-571a8eb4d4ef,http://choosewise.nwhu.on.ca/Facility/Details/95ebe3e3-df5b-45b2-a300-e06381a7ceed
28-Jun-2023,Required,0,0,,location.href = '/Inspection/Details/89a36850-bb69-42f7-96bd-914dad64d517' ,http://choosewise.nwhu.on.ca/Inspection/Details/89a36850-bb69-42f7-96bd-914dad64d517,http://choosewise.nwhu.on.ca/Facility/Details/75fd83c8-aca7-4432-9067-04ec1a99dce1
11-Dec-2023,Required,0,1,,location.href = '/Inspection/Details/a3a849c1-fdc9-4498-86ea-ada5e347b763' ,http://choosewise.nwhu.on.ca/Inspection/Details/a3a849c1-fdc9-4498-86ea-ada5e347b763,http://choosewise.nwhu.on.ca/Facility/Details/dd45ade7-d5ca-4762-841f-16edcce90a27
20-Jun-2023,Required,0,0,,location.href = '/Inspection/Details/a5d29363-e616-483b-a6c1-a38e80cb2ba0' ,http://choosewise.nwhu.on.ca/Inspection/Details/a5d29363-e616-483b-a6c1-a38e80cb2ba0,http://choosewise.nwhu.on.ca/Facility/Details/dd45ade7-d5ca-4762-841f-16edcce90a27
15-Aug-2023,Required,0,0,,location.href = '/Inspection/Details/6ca7e558-b9a4-4273-be49-7ab779a0aeaa' ,http://choosewise.nwhu.on.ca/Inspection/Details/6ca7e558-b9a4-4273-be49-7ab779a0aeaa,http://choosewise.nwhu.on.ca/Facility/Details/d4cf415a-d41e-4cf3-8f10-185d90866dcc
28-Nov-2023,Required,1,0,,location.href = '/Inspection/Details/575e4c7d-3371-4fce-b9b6-e577cecb6785' ,http://choosewise.nwhu.on.ca/Inspection/Details/575e4c7d-3371-4fce-b9b6-e577cecb6785,http://choosewise.nwhu.on.ca/Facility/Details/8bfe80f0-bfcb-4764-8217-e5af17e49634
15-Dec-2023,Required,1,0,,location.href = '/Inspection/Details/082a330f-aed7-4596-8595-47deb93e784f' ,http://choosewise.nwhu.on.ca/Inspection/Details/082a330f-aed7-4596-8595-47deb93e784f,http://choosewise.nwhu.on.ca/Facility/Details/08686a44-99bb-43cb-833d-23afd5b7073b
07-Dec-2023,Required,0,0,,location.href = '/Inspection/Details/cd73976e-6c12-4963-a21f-8456e36689c7' ,http://choosewise.nwhu.on.ca/Inspection/Details/cd73976e-6c12-4963-a21f-8456e36689c7,http://choosewise.nwhu.on.ca/Facility/Details/6f82a8b8-0837-49ab-ba7b-28a9f9d35901
16-Apr-2024,Required,0,0,,location.href = '/Inspection/Details/725cf756-68aa-4021-8972-b40ef1c5bd89' ,http://choosewise.nwhu.on.ca/Inspection/Details/725cf756-68aa-4021-8972-b40ef1c5bd89,http://choosewise.nwhu.on.ca/Facility/Details/63523d75-6ca3-4194-af78-0b8a596dfecc
18-Dec-2023,Required,1,0,,location.href = '/Inspection/Details/14556573-b242-40c6-ac8a-5d49601dea52' ,http://choosewise.nwhu.on.ca/Inspection/Details/14556573-b242-40c6-ac8a-5d49601dea52,http://choosewise.nwhu.on.ca/Facility/Details/63523d75-6ca3-4194-af78-0b8a596dfecc
24-Aug-2023,Required,0,0,,location.href = '/Inspection/Details/21d4a8c2-cb56-415c-b02a-43811e254517' ,http://choosewise.nwhu.on.ca/Inspection/Details/21d4a8c2-cb56-415c-b02a-43811e254517,http://choosewise.nwhu.on.ca/Facility/Details/63523d75-6ca3-4194-af78-0b8a596dfecc
25-Apr-2023,Required,0,0,,location.href = '/Inspection/Details/be2b391b-ee71-46b5-b1dd-e56ab489a28e' ,http://choosewise.nwhu.on.ca/Inspection/Details/be2b391b-ee71-46b5-b1dd-e56ab489a28e,http://choosewise.nwhu.on.ca/Facility/Details/63523d75-6ca3-4194-af78-0b8a596dfecc
31-May-2022,Required,1,0,,location.href = '/Inspection/Details/be700f5c-bb36-44ae-9229-b18906ce4892' ,http://choosewise.nwhu.on.ca/Inspection/Details/be700f5c-bb36-44ae-9229-b18906ce4892,http://choosewise.nwhu.on.ca/Facility/Details/63523d75-6ca3-4194-af78-0b8a596dfecc
06-Dec-2023,Required,0,0,,location.href = '/Inspection/Details/4d4df8ef-a6ea-48be-a350-c15f1c5f70ee' ,http://choosewise.nwhu.on.ca/Inspection/Details/4d4df8ef-a6ea-48be-a350-c15f1c5f70ee,http://choosewise.nwhu.on.ca/Facility/Details/08a74d34-703d-4ee1-a6f1-8e497f42b916
23-Nov-2022,Required,1,0,,location.href = '/Inspection/Details/65f9d803-40fc-461d-a877-677f83bc10ba' ,http://choosewise.nwhu.on.ca/Inspection/Details/65f9d803-40fc-461d-a877-677f83bc10ba,http://choosewise.nwhu.on.ca/Facility/Details/08a74d34-703d-4ee1-a6f1-8e497f42b916
07-Oct-2020,Required,0,3,,location.href = '/Inspection/Details/58dff1e5-9ca2-420e-a6af-63788fb00fa9' ,http://choosewise.nwhu.on.ca/Inspection/Details/58dff1e5-9ca2-420e-a6af-63788fb00fa9,http://choosewise.nwhu.on.ca/Facility/Details/8d67914d-2a7e-4831-9e94-3073570f78ab
18-Dec-2023,Required,1,0,,location.href = '/Inspection/Details/26ae2f81-e8e7-460f-9124-53a175c72ed3' ,http://choosewise.nwhu.on.ca/Inspection/Details/26ae2f81-e8e7-460f-9124-53a175c72ed3,http://choosewise.nwhu.on.ca/Facility/Details/68338922-3bdb-40c9-b7dd-9eead7e84906
17-May-2023,Required,0,0,,location.href = '/Inspection/Details/19bdfb1f-5b3b-43fd-b1b3-2c5d1ce4550f' ,http://choosewise.nwhu.on.ca/Inspection/Details/19bdfb1f-5b3b-43fd-b1b3-2c5d1ce4550f,http://choosewise.nwhu.on.ca/Facility/Details/68338922-3bdb-40c9-b7dd-9eead7e84906
21-Dec-2023,Required,0,0,,location.href = '/Inspection/Details/1868ad6e-1235-4285-aaec-fb1aeacb4574' ,http://choosewise.nwhu.on.ca/Inspection/Details/1868ad6e-1235-4285-aaec-fb1aeacb4574,http://choosewise.nwhu.on.ca/Facility/Details/c8b500ac-36cf-4824-b556-5c032b6a0d11
27-Jun-2023,Required,0,0,,location.href = '/Inspection/Details/d4a15c9d-73d9-4a6f-b876-db8201f4cf20' ,http://choosewise.nwhu.on.ca/Inspection/Details/d4a15c9d-73d9-4a6f-b876-db8201f4cf20,http://choosewise.nwhu.on.ca/Facility/Details/c8b500ac-36cf-4824-b556-5c032b6a0d11
16-Nov-2022,Required,0,0,,location.href = '/Inspection/Details/15aba0b1-3360-4eee-b775-63d3fb5c6252' ,http://choosewise.nwhu.on.ca/Inspection/Details/15aba0b1-3360-4eee-b775-63d3fb5c6252,http://choosewise.nwhu.on.ca/Facility/Details/c8b500ac-36cf-4824-b556-5c032b6a0d11
04-Mar-2021,Required,1,0,,location.href = '/Inspection/Details/6a8f6a02-7a8f-471a-90ed-b9496159c99c' ,http://choosewise.nwhu.on.ca/Inspection/Details/6a8f6a02-7a8f-471a-90ed-b9496159c99c,http://choosewise.nwhu.on.ca/Facility/Details/c8b500ac-36cf-4824-b556-5c032b6a0d11
23-Nov-2023,Required,1,0,,location.href = '/Inspection/Details/37ef60b4-1ff2-4773-9849-90eeae8d6333' ,http://choosewise.nwhu.on.ca/Inspection/Details/37ef60b4-1ff2-4773-9849-90eeae8d6333,http://choosewise.nwhu.on.ca/Facility/Details/6bf8feda-262d-4d09-9f57-d72ee66d95b3
23-Nov-2023,Required,0,0,,location.href = '/Inspection/Details/fc5a3f2d-32bb-4c0f-b1bb-2f241760f0c8' ,http://choosewise.nwhu.on.ca/Inspection/Details/fc5a3f2d-32bb-4c0f-b1bb-2f241760f0c8,http://choosewise.nwhu.on.ca/Facility/Details/39e43664-9c9e-4339-b0ae-967f4256ed95
23-Nov-2023,Required,1,0,,location.href = '/Inspection/Details/4cfd9d0e-5f6e-4367-842d-c83bb1d14f33' ,http://choosewise.nwhu.on.ca/Inspection/Details/4cfd9d0e-5f6e-4367-842d-c83bb1d14f33,http://choosewise.nwhu.on.ca/Facility/Details/ce7abc00-b631-41c6-b8e4-8221deabb881
20-Dec-2023,Required,1,0,,location.href = '/Inspection/Details/68d05f1e-3350-4161-84af-e07c06678dbd' ,http://choosewise.nwhu.on.ca/Inspection/Details/68d05f1e-3350-4161-84af-e07c06678dbd,http://choosewise.nwhu.on.ca/Facility/Details/7465b456-9bef-430b-8909-62575ed3962e
31-May-2023,Required,1,0,,location.href = '/Inspection/Details/3f112e60-f5c5-42ac-88cc-91423dfd10df' ,http://choosewise.nwhu.on.ca/Inspection/Details/3f112e60-f5c5-42ac-88cc-91423dfd10df,http://choosewise.nwhu.on.ca/Facility/Details/7465b456-9bef-430b-8909-62575ed3962e
12-Jan-2021,Required,0,0,,location.href = '/Inspection/Details/c3cc4665-3773-431e-84dd-23a2aeb44bec' ,http://choosewise.nwhu.on.ca/Inspection/Details/c3cc4665-3773-431e-84dd-23a2aeb44bec,http://choosewise.nwhu.on.ca/Facility/Details/7465b456-9bef-430b-8909-62575ed3962e
07-May-2020,Required,0,0,,location.href = '/Inspection/Details/bc8a7f11-ffc9-4075-a39f-282162b24717' ,http://choosewise.nwhu.on.ca/Inspection/Details/bc8a7f11-ffc9-4075-a39f-282162b24717,http://choosewise.nwhu.on.ca/Facility/Details/7465b456-9bef-430b-8909-62575ed3962e
25-Apr-2023,Required,0,0,,location.href = '/Inspection/Details/33d95425-d7f2-4102-9141-6f7d75743dec' ,http://choosewise.nwhu.on.ca/Inspection/Details/33d95425-d7f2-4102-9141-6f7d75743dec,http://choosewise.nwhu.on.ca/Facility/Details/d086b2f0-8189-4f04-a403-455d6ed3ff90
10-Aug-2023,Required,0,0,,location.href = '/Inspection/Details/3ba1bed6-2145-4cfc-8ed3-019920393a3c' ,http://choosewise.nwhu.on.ca/Inspection/Details/3ba1bed6-2145-4cfc-8ed3-019920393a3c,http://choosewise.nwhu.on.ca/Facility/Details/ebeed992-89bf-4e0f-b814-77072da41824
25-Jun-2021,Required,1,0,,location.href = '/Inspection/Details/244b68fc-3c0a-4325-b902-32d8ab9b7e47' ,http://choosewise.nwhu.on.ca/Inspection/Details/244b68fc-3c0a-4325-b902-32d8ab9b7e47,http://choosewise.nwhu.on.ca/Facility/Details/ebeed992-89bf-4e0f-b814-77072da41824
